lon,lat,doy,seas,thresh,thresh_MCS
177.275,-37.975,1,19.2542,20.6515,17.9481
177.275,-37.975,2,19.3015,20.6967,18.0000
177.275,-37.975,3,19.3483,20.7425,18.0522
177.275,-37.975,4,19.3943,20.7877,18.1009
177.275,-37.975,5,19.4398,20.8326,18.1467
177.275,-37.975,6,19.4851,20.8792,18.1890
177.275,-37.975,7,19.5302,20.9285,18.2304
177.275,-37.975,8,19.5752,20.9805,18.2704
177.275,-37.975,9,19.6205,21.0361,18.3104
177.275,-37.975,10,19.6668,21.0989,18.3516
177.275,-37.975,11,19.7145,21.1633,18.3934
177.275,-37.975,12,19.7627,21.2276,18.4353
177.275,-37.975,13,19.8112,21.2905,18.4740
177.275,-37.975,14,19.8600,21.3513,18.5105
177.275,-37.975,15,19.9095,21.4120,18.5485
177.275,-37.975,16,19.9590,21.4709,18.5915
177.275,-37.975,17,20.0080,21.5289,18.6357
177.275,-37.975,18,20.0565,21.5831,18.6824
177.275,-37.975,19,20.1043,21.6342,18.7311
177.275,-37.975,20,20.1515,21.6842,18.7825
177.275,-37.975,21,20.1975,21.7304,18.8322
177.275,-37.975,22,20.2429,21.7747,18.8831
177.275,-37.975,23,20.2873,21.8169,18.9328
177.275,-37.975,24,20.3301,21.8566,18.9815
177.275,-37.975,25,20.3711,21.8950,19.0271
177.275,-37.975,26,20.4097,21.9325,19.0703
177.275,-37.975,27,20.4459,21.9680,19.1122
177.275,-37.975,28,20.4800,21.9986,19.1518
177.275,-37.975,29,20.5122,22.0283,19.1877
177.275,-37.975,30,20.5426,22.0560,19.2220
177.275,-37.975,31,20.5714,22.0782,19.2530
177.275,-37.975,32,20.5987,22.0956,19.2826
177.275,-37.975,33,20.6246,22.1127,19.3088
177.275,-37.975,34,20.6493,22.1282,19.3330
177.275,-37.975,35,20.6730,22.1434,19.3572
177.275,-37.975,36,20.6958,22.1585,19.3833
177.275,-37.975,37,20.7182,22.1713,19.4112
177.275,-37.975,38,20.7405,22.1816,19.4389
177.275,-37.975,39,20.7631,22.1894,19.4756
177.275,-37.975,40,20.7854,22.1950,19.5127
177.275,-37.975,41,20.8071,22.1953,19.5516
177.275,-37.975,42,20.8277,22.1943,19.5900
177.275,-37.975,43,20.8466,22.1937,19.6286
177.275,-37.975,44,20.8637,22.1911,19.6667
177.275,-37.975,45,20.8787,22.1863,19.6998
177.275,-37.975,46,20.8913,22.1812,19.7258
177.275,-37.975,47,20.9017,22.1757,19.7413
177.275,-37.975,48,20.9097,22.1703,19.7438
177.275,-37.975,49,20.9152,22.1638,19.7397
177.275,-37.975,50,20.9184,22.1548,19.7316
177.275,-37.975,51,20.9188,22.1445,19.7201
177.275,-37.975,52,20.9169,22.1290,19.7075
177.275,-37.975,53,20.9125,22.1089,19.6931
177.275,-37.975,54,20.9058,22.0855,19.6779
177.275,-37.975,55,20.8975,22.0606,19.6634
177.275,-37.975,56,20.8878,22.0348,19.6506
177.275,-37.975,57,20.8772,22.0093,19.6379
177.275,-37.975,58,20.8653,21.9828,19.6252
177.275,-37.975,59,20.8521,21.9567,19.6110
177.275,-37.975,60,20.8371,21.9312,19.5973
177.275,-37.975,61,20.8203,21.9044,19.5818
177.275,-37.975,62,20.8015,21.8770,19.5660
177.275,-37.975,63,20.7809,21.8480,19.5502
177.275,-37.975,64,20.7586,21.8174,19.5331
177.275,-37.975,65,20.7347,21.7851,19.5160
177.275,-37.975,66,20.7089,21.7522,19.4976
177.275,-37.975,67,20.6811,21.7174,19.4757
177.275,-37.975,68,20.6509,21.6828,19.4495
177.275,-37.975,69,20.6186,21.6486,19.4165
177.275,-37.975,70,20.5843,21.6140,19.3644
177.275,-37.975,71,20.5482,21.5782,19.3108
177.275,-37.975,72,20.5104,21.5411,19.2547
177.275,-37.975,73,20.4718,21.5031,19.1965
177.275,-37.975,74,20.4327,21.4646,19.1362
177.275,-37.975,75,20.3930,21.4262,19.0743
177.275,-37.975,76,20.3528,21.3884,19.0139
177.275,-37.975,77,20.3121,21.3498,18.9585
177.275,-37.975,78,20.2710,21.3107,18.9074
177.275,-37.975,79,20.2298,21.2704,18.8667
177.275,-37.975,80,20.1881,21.2294,18.8303
177.275,-37.975,81,20.1459,21.1866,18.7944
177.275,-37.975,82,20.1034,21.1425,18.7554
177.275,-37.975,83,20.0606,21.1016,18.7153
177.275,-37.975,84,20.0171,21.0619,18.6753
177.275,-37.975,85,19.9727,21.0215,18.6352
177.275,-37.975,86,19.9273,20.9811,18.5939
177.275,-37.975,87,19.8809,20.9395,18.5509
177.275,-37.975,88,19.8337,20.8960,18.5019
177.275,-37.975,89,19.7861,20.8502,18.4525
177.275,-37.975,90,19.7380,20.8030,18.4017
177.275,-37.975,91,19.6897,20.7540,18.3511
177.275,-37.975,92,19.6416,20.7043,18.3007
177.275,-37.975,93,19.5935,20.6530,18.2501
177.275,-37.975,94,19.5455,20.6020,18.1969
177.275,-37.975,95,19.4976,20.5495,18.1447
177.275,-37.975,96,19.4498,20.4966,18.0925
177.275,-37.975,97,19.4027,20.4436,18.0408
177.275,-37.975,98,19.3557,20.3920,17.9912
177.275,-37.975,99,19.3088,20.3388,17.9419
177.275,-37.975,100,19.2615,20.2843,17.8951
177.275,-37.975,101,19.2139,20.2285,17.8590
177.275,-37.975,102,19.1659,20.1724,17.8239
177.275,-37.975,103,19.1174,20.1144,17.7878
177.275,-37.975,104,19.0679,20.0556,17.7530
177.275,-37.975,105,19.0179,19.9956,17.7186
177.275,-37.975,106,18.9673,19.9343,17.6856
177.275,-37.975,107,18.9162,19.8727,17.6544
177.275,-37.975,108,18.8643,19.8103,17.6225
177.275,-37.975,109,18.8123,19.7462,17.5904
177.275,-37.975,110,18.7601,19.6817,17.5567
177.275,-37.975,111,18.7081,19.6165,17.5196
177.275,-37.975,112,18.6562,19.5533,17.4831
177.275,-37.975,113,18.6043,19.4894,17.4481
177.275,-37.975,114,18.5524,19.4258,17.4124
177.275,-37.975,115,18.5007,19.3652,17.3741
177.275,-37.975,116,18.4493,19.3055,17.3338
177.275,-37.975,117,18.3980,19.2452,17.2931
177.275,-37.975,118,18.3467,19.1843,17.2504
177.275,-37.975,119,18.2953,19.1252,17.2130
177.275,-37.975,120,18.2435,19.0671,17.1748
177.275,-37.975,121,18.1916,19.0078,17.1355
177.275,-37.975,122,18.1395,18.9475,17.0934
177.275,-37.975,123,18.0870,18.8888,17.0521
177.275,-37.975,124,18.0342,18.8301,17.0102
177.275,-37.975,125,17.9809,18.7705,16.9688
177.275,-37.975,126,17.9270,18.7120,16.9259
177.275,-37.975,127,17.8719,18.6526,16.8787
177.275,-37.975,128,17.8154,18.5923,16.8290
177.275,-37.975,129,17.7578,18.5307,16.7773
177.275,-37.975,130,17.6992,18.4691,16.7228
177.275,-37.975,131,17.6395,18.4071,16.6702
177.275,-37.975,132,17.5786,18.3439,16.6150
177.275,-37.975,133,17.5163,18.2800,16.5585
177.275,-37.975,134,17.4529,18.2168,16.5017
177.275,-37.975,135,17.3889,18.1529,16.4428
177.275,-37.975,136,17.3244,18.0876,16.3840
177.275,-37.975,137,17.2595,18.0234,16.3204
177.275,-37.975,138,17.1946,17.9595,16.2559
177.275,-37.975,139,17.1300,17.8956,16.1902
177.275,-37.975,140,17.0655,17.8334,16.1242
177.275,-37.975,141,17.0011,17.7718,16.0591
177.275,-37.975,142,16.9368,17.7105,15.9968
177.275,-37.975,143,16.8730,17.6493,15.9336
177.275,-37.975,144,16.8097,17.5903,15.8713
177.275,-37.975,145,16.7463,17.5325,15.8100
177.275,-37.975,146,16.6830,17.4726,15.7503
177.275,-37.975,147,16.6197,17.4146,15.6916
177.275,-37.975,148,16.5567,17.3578,15.6330
177.275,-37.975,149,16.4941,17.2984,15.5754
177.275,-37.975,150,16.4318,17.2372,15.5183
177.275,-37.975,151,16.3696,17.1769,15.4608
177.275,-37.975,152,16.3073,17.1169,15.4047
177.275,-37.975,153,16.2451,17.0591,15.3438
177.275,-37.975,154,16.1830,17.0017,15.2792
177.275,-37.975,155,16.1210,16.9453,15.2129
177.275,-37.975,156,16.0597,16.8888,15.1481
177.275,-37.975,157,15.9990,16.8334,15.0842
177.275,-37.975,158,15.9394,16.7786,15.0235
177.275,-37.975,159,15.8805,16.7245,14.9652
177.275,-37.975,160,15.8224,16.6713,14.9062
177.275,-37.975,161,15.7651,16.6193,14.8517
177.275,-37.975,162,15.7089,16.5690,14.7986
177.275,-37.975,163,15.6542,16.5200,14.7476
177.275,-37.975,164,15.6007,16.4722,14.6973
177.275,-37.975,165,15.5485,16.4248,14.6458
177.275,-37.975,166,15.4972,16.3787,14.5957
177.275,-37.975,167,15.4469,16.3335,14.5448
177.275,-37.975,168,15.3975,16.2889,14.4962
177.275,-37.975,169,15.3486,16.2435,14.4490
177.275,-37.975,170,15.3005,16.1986,14.4032
177.275,-37.975,171,15.2526,16.1531,14.3571
177.275,-37.975,172,15.2051,16.1076,14.3115
177.275,-37.975,173,15.1581,16.0605,14.2661
177.275,-37.975,174,15.1116,16.0143,14.2219
177.275,-37.975,175,15.0657,15.9688,14.1784
177.275,-37.975,176,15.0209,15.9226,14.1361
177.275,-37.975,177,14.9774,15.8784,14.0941
177.275,-37.975,178,14.9346,15.8331,14.0524
177.275,-37.975,179,14.8923,15.7886,14.0095
177.275,-37.975,180,14.8504,15.7473,13.9665
177.275,-37.975,181,14.8088,15.7069,13.9208
177.275,-37.975,182,14.7685,15.6676,13.8715
177.275,-37.975,183,14.7295,15.6312,13.8235
177.275,-37.975,184,14.6914,15.5944,13.7812
177.275,-37.975,185,14.6544,15.5583,13.7432
177.275,-37.975,186,14.6183,15.5234,13.7081
177.275,-37.975,187,14.5827,15.4886,13.6733
177.275,-37.975,188,14.5476,15.4534,13.6401
177.275,-37.975,189,14.5131,15.4197,13.6078
177.275,-37.975,190,14.4799,15.3868,13.5771
177.275,-37.975,191,14.4480,15.3536,13.5497
177.275,-37.975,192,14.4175,15.3191,13.5230
177.275,-37.975,193,14.3880,15.2836,13.4965
177.275,-37.975,194,14.3592,15.2481,13.4701
177.275,-37.975,195,14.3313,15.2126,13.4440
177.275,-37.975,196,14.3045,15.1774,13.4191
177.275,-37.975,197,14.2784,15.1416,13.3937
177.275,-37.975,198,14.2528,15.1067,13.3682
177.275,-37.975,199,14.2281,15.0719,13.3454
177.275,-37.975,200,14.2046,15.0390,13.3240
177.275,-37.975,201,14.1822,15.0074,13.3025
177.275,-37.975,202,14.1606,14.9774,13.2825
177.275,-37.975,203,14.1400,14.9487,13.2629
177.275,-37.975,204,14.1201,14.9232,13.2435
177.275,-37.975,205,14.1011,14.8984,13.2248
177.275,-37.975,206,14.0829,14.8742,13.2062
177.275,-37.975,207,14.0652,14.8493,13.1878
177.275,-37.975,208,14.0483,14.8251,13.1704
177.275,-37.975,209,14.0325,14.8016,13.1550
177.275,-37.975,210,14.0177,14.7774,13.1418
177.275,-37.975,211,14.0036,14.7542,13.1296
177.275,-37.975,212,13.9901,14.7307,13.1201
177.275,-37.975,213,13.9769,14.7072,13.1165
177.275,-37.975,214,13.9641,14.6830,13.1146
177.275,-37.975,215,13.9518,14.6584,13.1146
177.275,-37.975,216,13.9399,14.6336,13.1150
177.275,-37.975,217,13.9286,14.6088,13.1156
177.275,-37.975,218,13.9183,14.5859,13.1170
177.275,-37.975,219,13.9091,14.5649,13.1186
177.275,-37.975,220,13.9008,14.5446,13.1200
177.275,-37.975,221,13.8931,14.5249,13.1200
177.275,-37.975,222,13.8862,14.5071,13.1197
177.275,-37.975,223,13.8799,14.4913,13.1187
177.275,-37.975,224,13.8745,14.4772,13.1177
177.275,-37.975,225,13.8700,14.4655,13.1167
177.275,-37.975,226,13.8660,14.4545,13.1142
177.275,-37.975,227,13.8625,14.4458,13.1123
177.275,-37.975,228,13.8595,14.4394,13.1113
177.275,-37.975,229,13.8566,14.4342,13.1106
177.275,-37.975,230,13.8538,14.4297,13.1099
177.275,-37.975,231,13.8512,14.4249,13.1084
177.275,-37.975,232,13.8489,14.4207,13.1077
177.275,-37.975,233,13.8473,14.4175,13.1071
177.275,-37.975,234,13.8463,14.4149,13.1065
