lon,lat,doy,seas,thresh,thresh_MCS
174.625,-41.375,1,15.5576,16.8442,14.3264
174.625,-41.375,2,15.5928,16.8837,14.3547
174.625,-41.375,3,15.6282,16.9232,14.3840
174.625,-41.375,4,15.6636,16.9610,14.4178
174.625,-41.375,5,15.6991,16.9957,14.4523
174.625,-41.375,6,15.7342,17.0304,14.4868
174.625,-41.375,7,15.7683,17.0636,14.5207
174.625,-41.375,8,15.8013,17.0965,14.5549
174.625,-41.375,9,15.8338,17.1299,14.5896
174.625,-41.375,10,15.8659,17.1625,14.6248
174.625,-41.375,11,15.8981,17.1950,14.6612
174.625,-41.375,12,15.9292,17.2267,14.6943
174.625,-41.375,13,15.9591,17.2566,14.7219
174.625,-41.375,14,15.9876,17.2858,14.7481
174.625,-41.375,15,16.0151,17.3098,14.7739
174.625,-41.375,16,16.0415,17.3312,14.7981
174.625,-41.375,17,16.0667,17.3534,14.8222
174.625,-41.375,18,16.0911,17.3734,14.8482
174.625,-41.375,19,16.1146,17.3901,14.8726
174.625,-41.375,20,16.1365,17.4063,14.8957
174.625,-41.375,21,16.1569,17.4198,14.9166
174.625,-41.375,22,16.1765,17.4340,14.9333
174.625,-41.375,23,16.1961,17.4482,14.9503
174.625,-41.375,24,16.2152,17.4603,14.9702
174.625,-41.375,25,16.2339,17.4725,14.9882
174.625,-41.375,26,16.2517,17.4860,15.0034
174.625,-41.375,27,16.2686,17.5015,15.0162
174.625,-41.375,28,16.2852,17.5181,15.0311
174.625,-41.375,29,16.3020,17.5377,15.0460
174.625,-41.375,30,16.3193,17.5580,15.0640
174.625,-41.375,31,16.3373,17.5815,15.0826
174.625,-41.375,32,16.3561,17.6038,15.1040
174.625,-41.375,33,16.3753,17.6255,15.1269
174.625,-41.375,34,16.3947,17.6495,15.1495
174.625,-41.375,35,16.4139,17.6746,15.1689
174.625,-41.375,36,16.4330,17.7011,15.1875
174.625,-41.375,37,16.4524,17.7291,15.2053
174.625,-41.375,38,16.4723,17.7571,15.2242
174.625,-41.375,39,16.4924,17.7845,15.2419
174.625,-41.375,40,16.5121,17.8093,15.2578
174.625,-41.375,41,16.5315,17.8335,15.2720
174.625,-41.375,42,16.5498,17.8575,15.2852
174.625,-41.375,43,16.5665,17.8795,15.2981
174.625,-41.375,44,16.5819,17.8998,15.3097
174.625,-41.375,45,16.5957,17.9190,15.3204
174.625,-41.375,46,16.6078,17.9371,15.3301
174.625,-41.375,47,16.6178,17.9539,15.3380
174.625,-41.375,48,16.6260,17.9665,15.3435
174.625,-41.375,49,16.6324,17.9795,15.3430
174.625,-41.375,50,16.6372,17.9916,15.3437
174.625,-41.375,51,16.6404,18.0037,15.3432
174.625,-41.375,52,16.6418,18.0149,15.3439
174.625,-41.375,53,16.6412,18.0254,15.3442
174.625,-41.375,54,16.6385,18.0358,15.3423
174.625,-41.375,55,16.6334,18.0453,15.3347
174.625,-41.375,56,16.6261,18.0517,15.3263
174.625,-41.375,57,16.6172,18.0530,15.3170
174.625,-41.375,58,16.6067,18.0511,15.3074
174.625,-41.375,59,16.5945,18.0424,15.2952
174.625,-41.375,60,16.5800,18.0241,15.2828
174.625,-41.375,61,16.5627,18.0012,15.2677
174.625,-41.375,62,16.5426,17.9715,15.2518
174.625,-41.375,63,16.5202,17.9381,15.2343
174.625,-41.375,64,16.4962,17.9025,15.2165
174.625,-41.375,65,16.4706,17.8631,15.1981
174.625,-41.375,66,16.4438,17.8229,15.1783
