lon,lat,doy,seas,thresh,thresh_MCS
175.475,-36.775,1,19.3494,20.4487,18.3200
175.475,-36.775,2,19.3949,20.4955,18.3627
175.475,-36.775,3,19.4402,20.5409,18.4052
175.475,-36.775,4,19.4858,20.5865,18.4465
175.475,-36.775,5,19.5320,20.6317,18.4883
175.475,-36.775,6,19.5789,20.6821,18.5284
175.475,-36.775,7,19.6262,20.7334,18.5680
175.475,-36.775,8,19.6735,20.7864,18.6064
175.475,-36.775,9,19.7212,20.8418,18.6458
175.475,-36.775,10,19.7694,20.8992,18.6862
175.475,-36.775,11,19.8183,20.9575,18.7276
175.475,-36.775,12,19.8665,21.0137,18.7685
175.475,-36.775,13,19.9137,21.0695,18.8059
175.475,-36.775,14,19.9600,21.1261,18.8415
175.475,-36.775,15,20.0052,21.1807,18.8762
175.475,-36.775,16,20.0493,21.2321,18.9097
175.475,-36.775,17,20.0917,21.2814,18.9411
175.475,-36.775,18,20.1331,21.3294,18.9750
175.475,-36.775,19,20.1738,21.3758,19.0103
175.475,-36.775,20,20.2137,21.4201,19.0475
175.475,-36.775,21,20.2528,21.4615,19.0854
175.475,-36.775,22,20.2919,21.5015,19.1240
175.475,-36.775,23,20.3306,21.5393,19.1628
175.475,-36.775,24,20.3689,21.5767,19.2023
175.475,-36.775,25,20.4064,21.6133,19.2419
175.475,-36.775,26,20.4425,21.6491,19.2815
175.475,-36.775,27,20.4772,21.6843,19.3202
175.475,-36.775,28,20.5107,21.7175,19.3589
175.475,-36.775,29,20.5430,21.7465,19.3973
175.475,-36.775,30,20.5743,21.7733,19.4351
175.475,-36.775,31,20.6041,21.7974,19.4697
175.475,-36.775,32,20.6326,21.8192,19.5011
175.475,-36.775,33,20.6598,21.8399,19.5304
175.475,-36.775,34,20.6859,21.8596,19.5576
175.475,-36.775,35,20.7105,21.8771,19.5856
175.475,-36.775,36,20.7336,21.8913,19.6140
175.475,-36.775,37,20.7554,21.9011,19.6437
175.475,-36.775,38,20.7764,21.9098,19.6733
175.475,-36.775,39,20.7964,21.9164,19.7033
175.475,-36.775,40,20.8149,21.9205,19.7326
175.475,-36.775,41,20.8319,21.9218,19.7615
175.475,-36.775,42,20.8472,21.9211,19.7876
175.475,-36.775,43,20.8609,21.9198,19.8114
175.475,-36.775,44,20.8731,21.9185,19.8310
175.475,-36.775,45,20.8833,21.9143,19.8472
175.475,-36.775,46,20.8920,21.9095,19.8572
175.475,-36.775,47,20.8989,21.9060,19.8601
175.475,-36.775,48,20.9043,21.9028,19.8614
175.475,-36.775,49,20.9079,21.8992,19.8573
175.475,-36.775,50,20.9097,21.8945,19.8518
175.475,-36.775,51,20.9095,21.8885,19.8462
175.475,-36.775,52,20.9071,21.8811,19.8372
175.475,-36.775,53,20.9024,21.8698,19.8265
175.475,-36.775,54,20.8955,21.8559,19.8119
175.475,-36.775,55,20.8866,21.8388,19.7955
175.475,-36.775,56,20.8761,21.8210,19.7784
175.475,-36.775,57,20.8647,21.8023,19.7607
175.475,-36.775,58,20.8522,21.7832,19.7430
175.475,-36.775,59,20.8384,21.7645,19.7241
175.475,-36.775,60,20.8232,21.7451,19.7028
175.475,-36.775,61,20.8065,21.7254,19.6809
175.475,-36.775,62,20.7887,21.7047,19.6590
175.475,-36.775,63,20.7698,21.6834,19.6360
175.475,-36.775,64,20.7498,21.6614,19.6118
175.475,-36.775,65,20.7291,21.6394,19.5846
175.475,-36.775,66,20.7075,21.6183,19.5553
175.475,-36.775,67,20.6848,21.5983,19.5232
175.475,-36.775,68,20.6607,21.5795,19.4870
175.475,-36.775,69,20.6354,21.5614,19.4486
175.475,-36.775,70,20.6092,21.5434,19.4093
175.475,-36.775,71,20.5823,21.5253,19.3682
175.475,-36.775,72,20.5548,21.5078,19.3270
175.475,-36.775,73,20.5270,21.4908,19.2859
175.475,-36.775,74,20.4992,21.4743,19.2445
175.475,-36.775,75,20.4714,21.4559,19.2065
175.475,-36.775,76,20.4435,21.4385,19.1705
175.475,-36.775,77,20.4152,21.4195,19.1391
175.475,-36.775,78,20.3866,21.3995,19.1126
175.475,-36.775,79,20.3579,21.3775,19.0863
175.475,-36.775,80,20.3286,21.3540,19.0591
175.475,-36.775,81,20.2986,21.3278,19.0314
175.475,-36.775,82,20.2680,21.3016,19.0022
175.475,-36.775,83,20.2368,21.2745,18.9719
175.475,-36.775,84,20.2049,21.2493,18.9415
175.475,-36.775,85,20.1720,21.2199,18.9107
175.475,-36.775,86,20.1381,21.1915,18.8811
175.475,-36.775,87,20.1032,21.1609,18.8515
175.475,-36.775,88,20.0675,21.1293,18.8194
175.475,-36.775,89,20.0308,21.0948,18.7839
175.475,-36.775,90,19.9930,21.0581,18.7479
175.475,-36.775,91,19.9545,21.0184,18.7127
175.475,-36.775,92,19.9150,20.9764,18.6762
175.475,-36.775,93,19.8748,20.9325,18.6392
175.475,-36.775,94,19.8338,20.8870,18.5953
175.475,-36.775,95,19.7919,20.8393,18.5475
175.475,-36.775,96,19.7491,20.7893,18.5011
175.475,-36.775,97,19.7054,20.7373,18.4550
175.475,-36.775,98,19.6607,20.6838,18.4059
175.475,-36.775,99,19.6150,20.6280,18.3575
175.475,-36.775,100,19.5681,20.5709,18.3081
175.475,-36.775,101,19.5203,20.5128,18.2594
175.475,-36.775,102,19.4716,20.4535,18.2118
175.475,-36.775,103,19.4221,20.3928,18.1621
175.475,-36.775,104,19.3718,20.3318,18.1135
175.475,-36.775,105,19.3205,20.2699,18.0654
175.475,-36.775,106,19.2683,20.2083,18.0164
175.475,-36.775,107,19.2154,20.1449,17.9671
175.475,-36.775,108,19.1620,20.0823,17.9186
