lon,lat,doy,seas,thresh,thresh_MCS
178.625,-37.625,1,18.3795,19.4672,17.1927
178.625,-37.625,2,18.4311,19.5182,17.2430
178.625,-37.625,3,18.4826,19.5691,17.2951
178.625,-37.625,4,18.5340,19.6213,17.3462
178.625,-37.625,5,18.5855,19.6752,17.3963
178.625,-37.625,6,18.6375,19.7304,17.4456
178.625,-37.625,7,18.6898,19.7877,17.4943
178.625,-37.625,8,18.7415,19.8459,17.5412
178.625,-37.625,9,18.7932,19.9054,17.5898
178.625,-37.625,10,18.8450,19.9657,17.6401
178.625,-37.625,11,18.8976,20.0263,17.6897
178.625,-37.625,12,18.9492,20.0876,17.7412
178.625,-37.625,13,18.9999,20.1489,17.7908
178.625,-37.625,14,19.0493,20.2094,17.8395
178.625,-37.625,15,19.0978,20.2677,17.8872
178.625,-37.625,16,19.1452,20.3238,17.9328
178.625,-37.625,17,19.1912,20.3773,17.9779
178.625,-37.625,18,19.2359,20.4272,18.0220
178.625,-37.625,19,19.2794,20.4749,18.0675
178.625,-37.625,20,19.3220,20.5213,18.1137
178.625,-37.625,21,19.3637,20.5645,18.1576
178.625,-37.625,22,19.4050,20.6055,18.2009
178.625,-37.625,23,19.4461,20.6435,18.2438
178.625,-37.625,24,19.4870,20.6798,18.2880
178.625,-37.625,25,19.5275,20.7165,18.3346
178.625,-37.625,26,19.5673,20.7527,18.3801
178.625,-37.625,27,19.6061,20.7891,18.4224
178.625,-37.625,28,19.6436,20.8242,18.4648
178.625,-37.625,29,19.6805,20.8586,18.5076
178.625,-37.625,30,19.7166,20.8910,18.5481
178.625,-37.625,31,19.7518,20.9248,18.5886
178.625,-37.625,32,19.7856,20.9560,18.6278
178.625,-37.625,33,19.8186,20.9860,18.6696
178.625,-37.625,34,19.8505,21.0155,18.7061
178.625,-37.625,35,19.8810,21.0439,18.7422
178.625,-37.625,36,19.9100,21.0706,18.7791
178.625,-37.625,37,19.9372,21.0955,18.8166
178.625,-37.625,38,19.9630,21.1182,18.8537
178.625,-37.625,39,19.9883,21.1393,18.8907
178.625,-37.625,40,20.0123,21.1580,18.9254
178.625,-37.625,41,20.0347,21.1744,18.9548
178.625,-37.625,42,20.0559,21.1905,18.9825
178.625,-37.625,43,20.0758,21.2044,19.0020
178.625,-37.625,44,20.0944,21.2156,19.0177
178.625,-37.625,45,20.1116,21.2236,19.0321
178.625,-37.625,46,20.1272,21.2307,19.0439
178.625,-37.625,47,20.1416,21.2369,19.0548
178.625,-37.625,48,20.1551,21.2421,19.0642
178.625,-37.625,49,20.1675,21.2472,19.0731
178.625,-37.625,50,20.1790,21.2524,19.0803
178.625,-37.625,51,20.1893,21.2565,19.0867
178.625,-37.625,52,20.1984,21.2600,19.0932
178.625,-37.625,53,20.2055,21.2626,19.0990
178.625,-37.625,54,20.2107,21.2643,19.1042
178.625,-37.625,55,20.2136,21.2649,19.1077
178.625,-37.625,56,20.2146,21.2626,19.1079
178.625,-37.625,57,20.2140,21.2586,19.1066
178.625,-37.625,58,20.2116,21.2532,19.1041
178.625,-37.625,59,20.2073,21.2464,19.1000
178.625,-37.625,60,20.2008,21.2383,19.0943
178.625,-37.625,61,20.1922,21.2270,19.0871
178.625,-37.625,62,20.1816,21.2128,19.0798
178.625,-37.625,63,20.1695,21.1964,19.0705
178.625,-37.625,64,20.1559,21.1764,19.0570
178.625,-37.625,65,20.1410,21.1551,19.0415
178.625,-37.625,66,20.1255,21.1337,19.0255
178.625,-37.625,67,20.1091,21.1122,19.0023
178.625,-37.625,68,20.0922,21.0915,18.9767
178.625,-37.625,69,20.0746,21.0705,18.9505
178.625,-37.625,70,20.0560,21.0493,18.9174
178.625,-37.625,71,20.0368,21.0280,18.8840
178.625,-37.625,72,20.0170,21.0061,18.8515
178.625,-37.625,73,19.9967,20.9838,18.8186
178.625,-37.625,74,19.9759,20.9622,18.7913
178.625,-37.625,75,19.9546,20.9412,18.7641
178.625,-37.625,76,19.9327,20.9189,18.7362
178.625,-37.625,77,19.9098,20.8956,18.7105
178.625,-37.625,78,19.8856,20.8717,18.6834
178.625,-37.625,79,19.8600,20.8475,18.6530
178.625,-37.625,80,19.8329,20.8220,18.6188
178.625,-37.625,81,19.8047,20.7959,18.5831
178.625,-37.625,82,19.7756,20.7707,18.5457
