lon,lat,doy,seas,thresh,thresh_MCS
166.125,-45.625,1,14.3054,15.6276,13.1625
166.125,-45.625,2,14.3378,15.6467,13.1951
166.125,-45.625,3,14.3692,15.6660,13.2274
166.125,-45.625,4,14.3998,15.6844,13.2594
166.125,-45.625,5,14.4293,15.7022,13.2924
166.125,-45.625,6,14.4583,15.7178,13.3245
166.125,-45.625,7,14.4874,15.7328,13.3583
166.125,-45.625,8,14.5167,15.7501,13.3925
166.125,-45.625,9,14.5466,15.7704,13.4260
166.125,-45.625,10,14.5774,15.7919,13.4573
166.125,-45.625,11,14.6094,15.8145,13.4883
166.125,-45.625,12,14.6416,15.8375,13.5186
166.125,-45.625,13,14.6745,15.8632,13.5489
166.125,-45.625,14,14.7082,15.8915,13.5783
166.125,-45.625,15,14.7426,15.9218,13.6072
166.125,-45.625,16,14.7776,15.9547,13.6362
166.125,-45.625,17,14.8132,15.9906,13.6662
166.125,-45.625,18,14.8487,16.0265,13.6958
166.125,-45.625,19,14.8837,16.0644,13.7253
166.125,-45.625,20,14.9176,16.1025,13.7528
166.125,-45.625,21,14.9504,16.1416,13.7799
166.125,-45.625,22,14.9823,16.1791,13.8079
166.125,-45.625,23,15.0134,16.2153,13.8366
166.125,-45.625,24,15.0437,16.2517,13.8672
166.125,-45.625,25,15.0729,16.2875,13.8972
166.125,-45.625,26,15.1010,16.3221,13.9288
166.125,-45.625,27,15.1283,16.3569,13.9595
166.125,-45.625,28,15.1545,16.3906,13.9885
166.125,-45.625,29,15.1796,16.4229,14.0160
166.125,-45.625,30,15.2039,16.4515,14.0418
166.125,-45.625,31,15.2276,16.4766,14.0673
166.125,-45.625,32,15.2506,16.5042,14.0921
166.125,-45.625,33,15.2728,16.5335,14.1164
166.125,-45.625,34,15.2942,16.5622,14.1397
166.125,-45.625,35,15.3147,16.5865,14.1629
166.125,-45.625,36,15.3347,16.6091,14.1846
166.125,-45.625,37,15.3536,16.6301,14.2057
166.125,-45.625,38,15.3713,16.6416,14.2251
166.125,-45.625,39,15.3875,16.6500,14.2441
166.125,-45.625,40,15.4024,16.6561,14.2635
166.125,-45.625,41,15.4154,16.6613,14.2822
166.125,-45.625,42,15.4265,16.6655,14.3009
166.125,-45.625,43,15.4356,16.6693,14.3193
166.125,-45.625,44,15.4430,16.6720,14.3358
166.125,-45.625,45,15.4487,16.6739,14.3509
166.125,-45.625,46,15.4532,16.6743,14.3647
166.125,-45.625,47,15.4563,16.6733,14.3748
166.125,-45.625,48,15.4577,16.6691,14.3822
166.125,-45.625,49,15.4578,16.6655,14.3879
166.125,-45.625,50,15.4569,16.6604,14.3927
166.125,-45.625,51,15.4553,16.6559,14.3962
166.125,-45.625,52,15.4533,16.6511,14.4006
166.125,-45.625,53,15.4509,16.6463,14.4032
166.125,-45.625,54,15.4482,16.6408,14.4012
166.125,-45.625,55,15.4447,16.6334,14.3946
166.125,-45.625,56,15.4404,16.6248,14.3854
166.125,-45.625,57,15.4347,16.6160,14.3719
166.125,-45.625,58,15.4278,16.6067,14.3545
166.125,-45.625,59,15.4204,16.5977,14.3335
166.125,-45.625,60,15.4122,16.5845,14.3125
166.125,-45.625,61,15.4032,16.5704,14.2911
166.125,-45.625,62,15.3928,16.5542,14.2698
166.125,-45.625,63,15.3812,16.5334,14.2482
166.125,-45.625,64,15.3685,16.5102,14.2266
166.125,-45.625,65,15.3552,16.4870,14.2050
166.125,-45.625,66,15.3419,16.4683,14.1837
166.125,-45.625,67,15.3280,16.4512,14.1621
166.125,-45.625,68,15.3138,16.4341,14.1410
166.125,-45.625,69,15.2988,16.4247,14.1200
166.125,-45.625,70,15.2833,16.4147,14.0983
166.125,-45.625,71,15.2674,16.4041,14.0742
166.125,-45.625,72,15.2513,16.3925,14.0489
166.125,-45.625,73,15.2357,16.3812,14.0241
166.125,-45.625,74,15.2210,16.3703,13.9986
166.125,-45.625,75,15.2066,16.3602,13.9742
166.125,-45.625,76,15.1920,16.3502,13.9496
166.125,-45.625,77,15.1764,16.3407,13.9248
166.125,-45.625,78,15.1602,16.3314,13.9015
166.125,-45.625,79,15.1438,16.3238,13.8784
166.125,-45.625,80,15.1272,16.3151,13.8557
166.125,-45.625,81,15.1102,16.3057,13.8326
166.125,-45.625,82,15.0928,16.2956,13.8103
166.125,-45.625,83,15.0747,16.2841,13.7867
166.125,-45.625,84,15.0556,16.2712,13.7619
166.125,-45.625,85,15.0350,16.2575,13.7400
166.125,-45.625,86,15.0132,16.2433,13.7187
166.125,-45.625,87,14.9905,16.2297,13.6973
166.125,-45.625,88,14.9674,16.2162,13.6763
166.125,-45.625,89,14.9438,16.1997,13.6578
166.125,-45.625,90,14.9195,16.1801,13.6427
166.125,-45.625,91,14.8950,16.1607,13.6273
166.125,-45.625,92,14.8703,16.1413,13.6128
166.125,-45.625,93,14.8454,16.1206,13.5983
166.125,-45.625,94,14.8202,16.0995,13.5838
166.125,-45.625,95,14.7946,16.0774,13.5683
166.125,-45.625,96,14.7684,16.0535,13.5528
166.125,-45.625,97,14.7420,16.0244,13.5373
166.125,-45.625,98,14.7158,15.9930,13.5228
166.125,-45.625,99,14.6900,15.9608,13.5084
166.125,-45.625,100,14.6648,15.9285,13.4936
166.125,-45.625,101,14.6399,15.8954,13.4789
166.125,-45.625,102,14.6149,15.8618,13.4663
166.125,-45.625,103,14.5898,15.8292,13.4545
166.125,-45.625,104,14.5642,15.7945,13.4422
166.125,-45.625,105,14.5382,15.7580,13.4299
166.125,-45.625,106,14.5121,15.7209,13.4171
166.125,-45.625,107,14.4861,15.6828,13.4042
166.125,-45.625,108,14.4604,15.6445,13.3916
166.125,-45.625,109,14.4350,15.6057,13.3781
166.125,-45.625,110,14.4094,15.5664,13.3633
166.125,-45.625,111,14.3838,15.5254,13.3486
166.125,-45.625,112,14.3584,15.4838,13.3354
166.125,-45.625,113,14.3331,15.4415,13.3222
166.125,-45.625,114,14.3078,15.3998,13.3094
166.125,-45.625,115,14.2824,15.3585,13.2968
166.125,-45.625,116,14.2570,15.3159,13.2834
166.125,-45.625,117,14.2318,15.2736,13.2684
166.125,-45.625,118,14.2065,15.2310,13.2544
166.125,-45.625,119,14.1808,15.1865,13.2403
166.125,-45.625,120,14.1546,15.1416,13.2241
166.125,-45.625,121,14.1278,15.0962,13.2041
166.125,-45.625,122,14.1003,15.0507,13.1808
166.125,-45.625,123,14.0723,15.0043,13.1576
166.125,-45.625,124,14.0440,14.9568,13.1337
166.125,-45.625,125,14.0159,14.9097,13.1072
166.125,-45.625,126,13.9884,14.8632,13.0807
166.125,-45.625,127,13.9615,14.8177,13.0542
166.125,-45.625,128,13.9344,14.7764,13.0301
166.125,-45.625,129,13.9071,14.7361,13.0060
166.125,-45.625,130,13.8791,14.6973,12.9830
166.125,-45.625,131,13.8508,14.6583,12.9616
166.125,-45.625,132,13.8221,14.6208,12.9412
166.125,-45.625,133,13.7928,14.5833,12.9198
166.125,-45.625,134,13.7629,14.5455,12.8965
166.125,-45.625,135,13.7324,14.5093,12.8730
166.125,-45.625,136,13.7013,14.4735,12.8492
166.125,-45.625,137,13.6692,14.4371,12.8245
166.125,-45.625,138,13.6364,14.4006,12.7968
166.125,-45.625,139,13.6032,14.3644,12.7684
166.125,-45.625,140,13.5696,14.3289,12.7412
166.125,-45.625,141,13.5359,14.2941,12.7146
166.125,-45.625,142,13.5019,14.2609,12.6865
166.125,-45.625,143,13.4682,14.2283,12.6585
166.125,-45.625,144,13.4346,14.1938,12.6297
166.125,-45.625,145,13.4010,14.1593,12.5997
166.125,-45.625,146,13.3681,14.1247,12.5704
166.125,-45.625,147,13.3358,14.0892,12.5421
166.125,-45.625,148,13.3043,14.0540,12.5163
166.125,-45.625,149,13.2736,14.0185,12.4921
166.125,-45.625,150,13.2439,13.9846,12.4696
166.125,-45.625,151,13.2153,13.9524,12.4493
166.125,-45.625,152,13.1879,13.9220,12.4326
166.125,-45.625,153,13.1615,13.8923,12.4184
166.125,-45.625,154,13.1354,13.8638,12.4029
166.125,-45.625,155,13.1097,13.8389,12.3861
166.125,-45.625,156,13.0844,13.8147,12.3683
166.125,-45.625,157,13.0589,13.7909,12.3471
166.125,-45.625,158,13.0331,13.7666,12.3249
166.125,-45.625,159,13.0068,13.7405,12.2996
166.125,-45.625,160,12.9799,13.7146,12.2725
166.125,-45.625,161,12.9527,13.6872,12.2423
166.125,-45.625,162,12.9250,13.6598,12.2105
166.125,-45.625,163,12.8969,13.6327,12.1751
166.125,-45.625,164,12.8688,13.6053,12.1404
166.125,-45.625,165,12.8414,13.5788,12.1078
166.125,-45.625,166,12.8148,13.5524,12.0752
166.125,-45.625,167,12.7891,13.5269,12.0430
166.125,-45.625,168,12.7645,13.5024,12.0121
166.125,-45.625,169,12.7405,13.4782,11.9831
166.125,-45.625,170,12.7172,13.4540,11.9547
166.125,-45.625,171,12.6948,13.4305,11.9268
166.125,-45.625,172,12.6729,13.4074,11.8998
166.125,-45.625,173,12.6514,13.3848,11.8718
166.125,-45.625,174,12.6301,13.3635,11.8424
166.125,-45.625,175,12.6089,13.3448,11.8127
166.125,-45.625,176,12.5878,13.3274,11.7837
166.125,-45.625,177,12.5665,13.3106,11.7546
166.125,-45.625,178,12.5446,13.2958,11.7253
166.125,-45.625,179,12.5224,13.2810,11.6959
166.125,-45.625,180,12.5002,13.2667,11.6659
166.125,-45.625,181,12.4778,13.2526,11.6355
166.125,-45.625,182,12.4552,13.2384,11.6055
166.125,-45.625,183,12.4326,13.2223,11.5757
166.125,-45.625,184,12.4103,13.2049,11.5460
166.125,-45.625,185,12.3888,13.1855,11.5189
166.125,-45.625,186,12.3677,13.1659,11.4937
166.125,-45.625,187,12.3469,13.1453,11.4721
166.125,-45.625,188,12.3267,13.1249,11.4550
166.125,-45.625,189,12.3072,13.1046,11.4392
166.125,-45.625,190,12.2884,13.0866,11.4239
166.125,-45.625,191,12.2707,13.0689,11.4100
166.125,-45.625,192,12.2539,13.0534,11.3975
166.125,-45.625,193,12.2381,13.0383,11.3851
166.125,-45.625,194,12.2232,13.0234,11.3754
166.125,-45.625,195,12.2089,13.0099,11.3660
166.125,-45.625,196,12.1948,12.9963,11.3565
166.125,-45.625,197,12.1808,12.9834,11.3471
166.125,-45.625,198,12.1670,12.9705,11.3368
166.125,-45.625,199,12.1534,12.9580,11.3264
166.125,-45.625,200,12.1403,12.9467,11.3162
166.125,-45.625,201,12.1277,12.9360,11.3037
166.125,-45.625,202,12.1154,12.9247,11.2913
166.125,-45.625,203,12.1034,12.9130,11.2809
166.125,-45.625,204,12.0921,12.9013,11.2744
166.125,-45.625,205,12.0810,12.8890,11.2692
166.125,-45.625,206,12.0703,12.8767,11.2647
166.125,-45.625,207,12.0602,12.8633,11.2608
166.125,-45.625,208,12.0505,12.8497,11.2569
166.125,-45.625,209,12.0414,12.8365,11.2533
166.125,-45.625,210,12.0326,12.8223,11.2482
166.125,-45.625,211,12.0235,12.8072,11.2424
166.125,-45.625,212,12.0143,12.7920,11.2372
166.125,-45.625,213,12.0048,12.7775,11.2311
166.125,-45.625,214,11.9949,12.7642,11.2238
166.125,-45.625,215,11.9844,12.7519,11.2162
166.125,-45.625,216,11.9736,12.7415,11.2053
166.125,-45.625,217,11.9630,12.7309,11.1943
166.125,-45.625,218,11.9525,12.7215,11.1838
166.125,-45.625,219,11.9424,12.7122,11.1735
166.125,-45.625,220,11.9327,12.7035,11.1629
166.125,-45.625,221,11.9236,12.6945,11.1519
166.125,-45.625,222,11.9151,12.6861,11.1441
166.125,-45.625,223,11.9071,12.6774,11.1380
166.125,-45.625,224,11.8996,12.6693,11.1332
166.125,-45.625,225,11.8926,12.6612,11.1285
166.125,-45.625,226,11.8859,12.6535,11.1251
166.125,-45.625,227,11.8796,12.6464,11.1223
166.125,-45.625,228,11.8734,12.6397,11.1190
166.125,-45.625,229,11.8671,12.6335,11.1166
166.125,-45.625,230,11.8606,12.6271,11.1132
166.125,-45.625,231,11.8537,12.6194,11.1103
166.125,-45.625,232,11.8465,12.6113,11.1074
166.125,-45.625,233,11.8392,12.6029,11.1036
166.125,-45.625,234,11.8321,12.5945,11.0982
166.125,-45.625,235,11.8250,12.5862,11.0914
166.125,-45.625,236,11.8186,12.5785,11.0875
166.125,-45.625,237,11.8129,12.5707,11.0852
166.125,-45.625,238,11.8075,12.5636,11.0829
166.125,-45.625,239,11.8023,12.5562,11.0811
166.125,-45.625,240,11.7972,12.5494,11.0785
166.125,-45.625,241,11.7923,12.5429,11.0775
166.125,-45.625,242,11.7878,12.5372,11.0768
166.125,-45.625,243,11.7838,12.5310,11.0751
166.125,-45.625,244,11.7802,12.5234,11.0737
166.125,-45.625,245,11.7766,12.5154,11.0721
166.125,-45.625,246,11.7731,12.5076,11.0678
166.125,-45.625,247,11.7691,12.4996,11.0635
166.125,-45.625,248,11.7646,12.4919,11.0573
166.125,-45.625,249,11.7599,12.4838,11.0511
166.125,-45.625,250,11.7548,12.4754,11.0450
166.125,-45.625,251,11.7497,12.4673,11.0388
166.125,-45.625,252,11.7446,12.4595,11.0327
166.125,-45.625,253,11.7392,12.4518,11.0245
166.125,-45.625,254,11.7335,12.4438,11.0157
166.125,-45.625,255,11.7278,12.4370,11.0060
166.125,-45.625,256,11.7225,12.4306,10.9975
166.125,-45.625,257,11.7179,12.4245,10.9883
166.125,-45.625,258,11.7142,12.4193,10.9786
166.125,-45.625,259,11.7113,12.4144,10.9713
166.125,-45.625,260,11.7093,12.4093,10.9671
166.125,-45.625,261,11.7084,12.4048,10.9661
166.125,-45.625,262,11.7087,12.4022,10.9679
166.125,-45.625,263,11.7099,12.4003,10.9744
166.125,-45.625,264,11.7121,12.3990,10.9825
166.125,-45.625,265,11.7149,12.3990,10.9920
166.125,-45.625,266,11.7182,12.3994,11.0033
166.125,-45.625,267,11.7215,12.3994,11.0123
166.125,-45.625,268,11.7248,12.3994,11.0201
166.125,-45.625,269,11.7284,12.4000,11.0278
166.125,-45.625,270,11.7321,12.4013,11.0355
166.125,-45.625,271,11.7362,12.4026,11.0436
166.125,-45.625,272,11.7408,12.4045,11.0521
166.125,-45.625,273,11.7459,12.4067,11.0617
166.125,-45.625,274,11.7515,12.4096,11.0727
166.125,-45.625,275,11.7577,12.4140,11.0848
166.125,-45.625,276,11.7644,12.4188,11.0986
166.125,-45.625,277,11.7718,12.4240,11.1164
166.125,-45.625,278,11.7800,12.4297,11.1361
166.125,-45.625,279,11.7888,12.4358,11.1578
166.125,-45.625,280,11.7983,12.4426,11.1795
166.125,-45.625,281,11.8086,12.4507,11.2015
166.125,-45.625,282,11.8193,12.4594,11.2241
166.125,-45.625,283,11.8305,12.4691,11.2466
166.125,-45.625,284,11.8420,12.4799,11.2683
166.125,-45.625,285,11.8540,12.4917,11.2896
166.125,-45.625,286,11.8663,12.5028,11.3106
166.125,-45.625,287,11.8789,12.5147,11.3310
166.125,-45.625,288,11.8918,12.5283,11.3507
166.125,-45.625,289,11.9047,12.5421,11.3707
166.125,-45.625,290,11.9180,12.5570,11.3897
166.125,-45.625,291,11.9317,12.5732,11.4066
166.125,-45.625,292,11.9457,12.5922,11.4218
166.125,-45.625,293,11.9601,12.6119,11.4351
166.125,-45.625,294,11.9748,12.6322,11.4458
166.125,-45.625,295,11.9898,12.6538,11.4558
166.125,-45.625,296,12.0052,12.6780,11.4648
166.125,-45.625,297,12.0211,12.7025,11.4726
166.125,-45.625,298,12.0376,12.7280,11.4806
166.125,-45.625,299,12.0542,12.7535,11.4887
166.125,-45.625,300,12.0711,12.7781,11.4968
166.125,-45.625,301,12.0885,12.8019,11.5055
166.125,-45.625,302,12.1062,12.8258,11.5152
166.125,-45.625,303,12.1242,12.8498,11.5249
166.125,-45.625,304,12.1423,12.8737,11.5352
166.125,-45.625,305,12.1607,12.8979,11.5455
166.125,-45.625,306,12.1799,12.9231,11.5562
166.125,-45.625,307,12.1997,12.9495,11.5678
166.125,-45.625,308,12.2202,12.9792,11.5795
166.125,-45.625,309,12.2417,13.0115,11.5910
166.125,-45.625,310,12.2649,13.0467,11.6033
166.125,-45.625,311,12.2896,13.0838,11.6158
166.125,-45.625,312,12.3155,13.1235,11.6278
166.125,-45.625,313,12.3423,13.1641,11.6391
166.125,-45.625,314,12.3700,13.2051,11.6503
166.125,-45.625,315,12.3987,13.2487,11.6616
166.125,-45.625,316,12.4283,13.2952,11.6738
166.125,-45.625,317,12.4587,13.3429,11.6861
166.125,-45.625,318,12.4898,13.3924,11.6999
166.125,-45.625,319,12.5215,13.4443,11.7160
166.125,-45.625,320,12.5536,13.4943,11.7340
166.125,-45.625,321,12.5855,13.5427,11.7518
166.125,-45.625,322,12.6171,13.5895,11.7698
166.125,-45.625,323,12.6487,13.6326,11.7885
166.125,-45.625,324,12.6804,13.6750,11.8088
166.125,-45.625,325,12.7122,13.7194,11.8300
166.125,-45.625,326,12.7442,13.7663,11.8513
166.125,-45.625,327,12.7766,13.8140,11.8739
166.125,-45.625,328,12.8092,13.8630,11.8969
166.125,-45.625,329,12.8423,13.9124,11.9217
166.125,-45.625,330,12.8766,13.9647,11.9492
166.125,-45.625,331,12.9121,14.0189,11.9778
166.125,-45.625,332,12.9490,14.0773,12.0062
166.125,-45.625,333,12.9872,14.1394,12.0343
166.125,-45.625,334,13.0267,14.2068,12.0630
166.125,-45.625,335,13.0676,14.2775,12.0917
166.125,-45.625,336,13.1096,14.3488,12.1211
166.125,-45.625,337,13.1527,14.4211,12.1507
166.125,-45.625,338,13.1967,14.4931,12.1806
166.125,-45.625,339,13.2415,14.5632,12.2109
166.125,-45.625,340,13.2868,14.6315,12.2416
166.125,-45.625,341,13.3318,14.7001,12.2726
166.125,-45.625,342,13.3759,14.7685,12.3033
166.125,-45.625,343,13.4196,14.8337,12.3345
166.125,-45.625,344,13.4627,14.8963,12.3665
166.125,-45.625,345,13.5049,14.9570,12.4013
166.125,-45.625,346,13.5458,15.0134,12.4364
166.125,-45.625,347,13.5860,15.0652,12.4719
166.125,-45.625,348,13.6252,15.1130,12.5082
166.125,-45.625,349,13.6635,15.1555,12.5448
166.125,-45.625,350,13.7007,15.1920,12.5806
166.125,-45.625,351,13.7370,15.2269,12.6158
166.125,-45.625,352,13.7728,15.2598,12.6516
166.125,-45.625,353,13.8085,15.2931,12.6875
166.125,-45.625,354,13.8440,15.3262,12.7226
166.125,-45.625,355,13.8795,15.3583,12.7581
166.125,-45.625,356,13.9150,15.3867,12.7929
166.125,-45.625,357,13.9507,15.4127,12.8287
166.125,-45.625,358,13.9867,15.4363,12.8639
166.125,-45.625,359,14.0228,15.4595,12.8990
166.125,-45.625,360,14.0591,15.4824,12.9322
166.125,-45.625,361,14.0956,15.5037,12.9635
166.125,-45.625,362,14.1317,15.5249,12.9951
166.125,-45.625,363,14.1677,15.5454,13.0280
166.125,-45.625,364,14.2031,15.5665,13.0622
166.125,-45.625,365,14.2378,15.5861,13.0964
166.125,-45.625,366,14.2719,15.6071,13.1296
