lon,lat,doy,seas,thresh,thresh_MCS
168.125,-46.625,1,13.9924,15.1612,12.9458
168.125,-46.625,2,14.0203,15.1735,12.9793
168.125,-46.625,3,14.0475,15.1863,13.0112
168.125,-46.625,4,14.0743,15.1983,13.0443
168.125,-46.625,5,14.1006,15.2095,13.0752
168.125,-46.625,6,14.1268,15.2215,13.1055
168.125,-46.625,7,14.1535,15.2341,13.1355
168.125,-46.625,8,14.1808,15.2458,13.1665
168.125,-46.625,9,14.2091,15.2576,13.1989
168.125,-46.625,10,14.2377,15.2712,13.2319
168.125,-46.625,11,14.2672,15.2874,13.2667
168.125,-46.625,12,14.2959,15.3025,13.3022
168.125,-46.625,13,14.3236,15.3167,13.3376
168.125,-46.625,14,14.3507,15.3309,13.3719
168.125,-46.625,15,14.3766,15.3457,13.4043
168.125,-46.625,16,14.4017,15.3606,13.4353
168.125,-46.625,17,14.4266,15.3748,13.4654
168.125,-46.625,18,14.4515,15.3904,13.4938
168.125,-46.625,19,14.4762,15.4074,13.5185
168.125,-46.625,20,14.5005,15.4249,13.5418
168.125,-46.625,21,14.5241,15.4413,13.5630
168.125,-46.625,22,14.5474,15.4571,13.5844
168.125,-46.625,23,14.5703,15.4758,13.6057
168.125,-46.625,24,14.5929,15.4974,13.6270
168.125,-46.625,25,14.6145,15.5196,13.6464
168.125,-46.625,26,14.6356,15.5422,13.6648
168.125,-46.625,27,14.6559,15.5648,13.6825
168.125,-46.625,28,14.6758,15.5914,13.6985
168.125,-46.625,29,14.6949,15.6180,13.7131
168.125,-46.625,30,14.7133,15.6453,13.7263
168.125,-46.625,31,14.7311,15.6701,13.7399
168.125,-46.625,32,14.7484,15.6936,13.7525
168.125,-46.625,33,14.7645,15.7162,13.7638
168.125,-46.625,34,14.7798,15.7361,13.7745
168.125,-46.625,35,14.7940,15.7558,13.7836
168.125,-46.625,36,14.8072,15.7745,13.7921
168.125,-46.625,37,14.8197,15.7925,13.8002
168.125,-46.625,38,14.8309,15.8095,13.8080
168.125,-46.625,39,14.8399,15.8222,13.8148
168.125,-46.625,40,14.8466,15.8290,13.8197
168.125,-46.625,41,14.8511,15.8316,13.8230
168.125,-46.625,42,14.8534,15.8310,13.8242
168.125,-46.625,43,14.8541,15.8274,13.8242
168.125,-46.625,44,14.8538,15.8235,13.8226
168.125,-46.625,45,14.8523,15.8196,13.8197
168.125,-46.625,46,14.8501,15.8157,13.8139
168.125,-46.625,47,14.8469,15.8119,13.8072
168.125,-46.625,48,14.8423,15.8076,13.8004
168.125,-46.625,49,14.8363,15.8021,13.7933
168.125,-46.625,50,14.8292,15.7966,13.7858
