lon,lat,doy,seas,thresh,thresh_MCS
172.825,-40.675,1,17.2525,18.7276,15.9387
172.825,-40.675,2,17.2963,18.7736,15.9791
172.825,-40.675,3,17.3394,18.8186,16.0177
172.825,-40.675,4,17.3821,18.8643,16.0554
172.825,-40.675,5,17.4244,18.9091,16.0937
172.825,-40.675,6,17.4666,18.9518,16.1304
172.825,-40.675,7,17.5087,18.9956,16.1669
172.825,-40.675,8,17.5513,19.0393,16.2027
172.825,-40.675,9,17.5945,19.0870,16.2388
172.825,-40.675,10,17.6388,19.1338,16.2775
172.825,-40.675,11,17.6851,19.1818,16.3192
172.825,-40.675,12,17.7317,19.2300,16.3633
172.825,-40.675,13,17.7785,19.2782,16.4055
172.825,-40.675,14,17.8262,19.3282,16.4478
172.825,-40.675,15,17.8739,19.3789,16.4911
172.825,-40.675,16,17.9212,19.4322,16.5337
172.825,-40.675,17,17.9684,19.4836,16.5754
172.825,-40.675,18,18.0150,19.5330,16.6180
172.825,-40.675,19,18.0610,19.5784,16.6599
172.825,-40.675,20,18.1061,19.6223,16.7016
172.825,-40.675,21,18.1501,19.6650,16.7432
172.825,-40.675,22,18.1934,19.7071,16.7838
172.825,-40.675,23,18.2363,19.7497,16.8258
172.825,-40.675,24,18.2784,19.7905,16.8677
172.825,-40.675,25,18.3189,19.8312,16.9077
172.825,-40.675,26,18.3578,19.8718,16.9471
172.825,-40.675,27,18.3951,19.9118,16.9845
172.825,-40.675,28,18.4306,19.9467,17.0194
172.825,-40.675,29,18.4646,19.9798,17.0533
172.825,-40.675,30,18.4974,20.0085,17.0828
172.825,-40.675,31,18.5291,20.0340,17.1097
172.825,-40.675,32,18.5592,20.0569,17.1342
172.825,-40.675,33,18.5876,20.0772,17.1581
172.825,-40.675,34,18.6141,20.0962,17.1797
172.825,-40.675,35,18.6385,20.1108,17.2004
172.825,-40.675,36,18.6613,20.1231,17.2192
172.825,-40.675,37,18.6827,20.1348,17.2384
172.825,-40.675,38,18.7030,20.1445,17.2574
172.825,-40.675,39,18.7215,20.1525,17.2776
172.825,-40.675,40,18.7377,20.1531,17.2983
172.825,-40.675,41,18.7509,20.1515,17.3169
172.825,-40.675,42,18.7605,20.1460,17.3330
172.825,-40.675,43,18.7671,20.1392,17.3465
172.825,-40.675,44,18.7710,20.1312,17.3590
172.825,-40.675,45,18.7715,20.1208,17.3680
172.825,-40.675,46,18.7690,20.1086,17.3699
172.825,-40.675,47,18.7633,20.0927,17.3670
172.825,-40.675,48,18.7545,20.0759,17.3588
172.825,-40.675,49,18.7428,20.0579,17.3463
172.825,-40.675,50,18.7290,20.0386,17.3327
172.825,-40.675,51,18.7129,20.0163,17.3188
172.825,-40.675,52,18.6955,19.9914,17.3049
172.825,-40.675,53,18.6765,19.9635,17.2900
172.825,-40.675,54,18.6559,19.9311,17.2724
172.825,-40.675,55,18.6338,19.8946,17.2543
172.825,-40.675,56,18.6111,19.8564,17.2368
172.825,-40.675,57,18.5881,19.8168,17.2204
172.825,-40.675,58,18.5648,19.7761,17.2039
172.825,-40.675,59,18.5416,19.7390,17.1885
172.825,-40.675,60,18.5176,19.7005,17.1720
172.825,-40.675,61,18.4925,19.6631,17.1562
172.825,-40.675,62,18.4661,19.6275,17.1395
172.825,-40.675,63,18.4387,19.5933,17.1231
172.825,-40.675,64,18.4107,19.5597,17.1054
172.825,-40.675,65,18.3818,19.5262,17.0877
172.825,-40.675,66,18.3521,19.4936,17.0694
172.825,-40.675,67,18.3213,19.4608,17.0502
172.825,-40.675,68,18.2895,19.4282,17.0281
172.825,-40.675,69,18.2564,19.3956,17.0033
172.825,-40.675,70,18.2219,19.3626,16.9766
172.825,-40.675,71,18.1865,19.3289,16.9488
172.825,-40.675,72,18.1507,19.2963,16.9183
172.825,-40.675,73,18.1148,19.2656,16.8869
172.825,-40.675,74,18.0784,19.2340,16.8521
