lon,lat,doy,seas,thresh,thresh_MCS
174.875,-36.375,1,19.4604,20.6145,18.3955
174.875,-36.375,2,19.5106,20.6586,18.4508
174.875,-36.375,3,19.5602,20.7024,18.5056
174.875,-36.375,4,19.6095,20.7477,18.5573
174.875,-36.375,5,19.6590,20.7932,18.6111
174.875,-36.375,6,19.7085,20.8387,18.6613
174.875,-36.375,7,19.7577,20.8852,18.7090
174.875,-36.375,8,19.8066,20.9319,18.7560
174.875,-36.375,9,19.8556,20.9817,18.8027
174.875,-36.375,10,19.9046,21.0362,18.8501
174.875,-36.375,11,19.9542,21.0924,18.8977
174.875,-36.375,12,20.0030,21.1509,18.9447
174.875,-36.375,13,20.0508,21.2092,18.9903
174.875,-36.375,14,20.0976,21.2684,19.0348
174.875,-36.375,15,20.1436,21.3260,19.0773
174.875,-36.375,16,20.1883,21.3829,19.1179
174.875,-36.375,17,20.2313,21.4380,19.1556
174.875,-36.375,18,20.2731,21.4910,19.1921
174.875,-36.375,19,20.3135,21.5415,19.2282
174.875,-36.375,20,20.3524,21.5904,19.2634
174.875,-36.375,21,20.3900,21.6370,19.2964
174.875,-36.375,22,20.4267,21.6822,19.3281
174.875,-36.375,23,20.4623,21.7245,19.3595
174.875,-36.375,24,20.4972,21.7632,19.3898
174.875,-36.375,25,20.5307,21.7981,19.4200
174.875,-36.375,26,20.5626,21.8306,19.4487
174.875,-36.375,27,20.5928,21.8613,19.4761
174.875,-36.375,28,20.6218,21.8881,19.5023
174.875,-36.375,29,20.6499,21.9139,19.5293
174.875,-36.375,30,20.6771,21.9385,19.5551
174.875,-36.375,31,20.7035,21.9616,19.5806
174.875,-36.375,32,20.7289,21.9839,19.6054
174.875,-36.375,33,20.7536,22.0048,19.6295
174.875,-36.375,34,20.7778,22.0253,19.6537
174.875,-36.375,35,20.8008,22.0437,19.6782
174.875,-36.375,36,20.8227,22.0621,19.6992
174.875,-36.375,37,20.8436,22.0788,19.7269
174.875,-36.375,38,20.8636,22.0945,19.7549
174.875,-36.375,39,20.8827,22.1104,19.7840
174.875,-36.375,40,20.9002,22.1234,19.8125
174.875,-36.375,41,20.9162,22.1309,19.8396
174.875,-36.375,42,20.9306,22.1363,19.8647
174.875,-36.375,43,20.9433,22.1395,19.8860
174.875,-36.375,44,20.9543,22.1403,19.9031
174.875,-36.375,45,20.9637,22.1377,19.9164
174.875,-36.375,46,20.9716,22.1345,19.9281
174.875,-36.375,47,20.9781,22.1309,19.9326
174.875,-36.375,48,20.9834,22.1273,19.9329
174.875,-36.375,49,20.9874,22.1224,19.9318
174.875,-36.375,50,20.9901,22.1141,19.9305
174.875,-36.375,51,20.9912,22.1038,19.9285
174.875,-36.375,52,20.9907,22.0915,19.9255
174.875,-36.375,53,20.9886,22.0779,19.9217
174.875,-36.375,54,20.9845,22.0643,19.9168
174.875,-36.375,55,20.9785,22.0498,19.9116
174.875,-36.375,56,20.9711,22.0340,19.9052
174.875,-36.375,57,20.9626,22.0173,19.8971
174.875,-36.375,58,20.9530,21.9996,19.8875
174.875,-36.375,59,20.9420,21.9818,19.8772
174.875,-36.375,60,20.9293,21.9629,19.8632
174.875,-36.375,61,20.9148,21.9432,19.8461
174.875,-36.375,62,20.8988,21.9225,19.8274
174.875,-36.375,63,20.8813,21.8999,19.8074
174.875,-36.375,64,20.8625,21.8760,19.7848
174.875,-36.375,65,20.8428,21.8519,19.7605
174.875,-36.375,66,20.8222,21.8274,19.7319
174.875,-36.375,67,20.8004,21.8020,19.7005
174.875,-36.375,68,20.7772,21.7768,19.6622
174.875,-36.375,69,20.7528,21.7514,19.6221
174.875,-36.375,70,20.7277,21.7259,19.5789
174.875,-36.375,71,20.7019,21.7005,19.5337
174.875,-36.375,72,20.6758,21.6753,19.4891
174.875,-36.375,73,20.6493,21.6505,19.4430
174.875,-36.375,74,20.6229,21.6253,19.3985
174.875,-36.375,75,20.5963,21.6008,19.3553
174.875,-36.375,76,20.5693,21.5769,19.3149
174.875,-36.375,77,20.5416,21.5521,19.2751
174.875,-36.375,78,20.5134,21.5267,19.2420
174.875,-36.375,79,20.4847,21.4997,19.2115
174.875,-36.375,80,20.4552,21.4700,19.1818
174.875,-36.375,81,20.4247,21.4410,19.1497
174.875,-36.375,82,20.3935,21.4128,19.1142
174.875,-36.375,83,20.3614,21.3845,19.0780
174.875,-36.375,84,20.3286,21.3568,19.0412
174.875,-36.375,85,20.2950,21.3251,19.0047
174.875,-36.375,86,20.2607,21.2913,18.9698
174.875,-36.375,87,20.2257,21.2571,18.9344
174.875,-36.375,88,20.1901,21.2232,18.8996
174.875,-36.375,89,20.1537,21.1872,18.8650
174.875,-36.375,90,20.1165,21.1492,18.8291
174.875,-36.375,91,20.0787,21.1101,18.7908
174.875,-36.375,92,20.0400,21.0691,18.7547
174.875,-36.375,93,20.0007,21.0265,18.7146
174.875,-36.375,94,19.9604,20.9843,18.6701
174.875,-36.375,95,19.9193,20.9423,18.6214
174.875,-36.375,96,19.8769,20.8990,18.5718
174.875,-36.375,97,19.8334,20.8529,18.5230
174.875,-36.375,98,19.7887,20.8050,18.4756
174.875,-36.375,99,19.7430,20.7560,18.4277
174.875,-36.375,100,19.6961,20.7053,18.3804
174.875,-36.375,101,19.6483,20.6527,18.3349
174.875,-36.375,102,19.5996,20.5978,18.2907
174.875,-36.375,103,19.5500,20.5423,18.2450
174.875,-36.375,104,19.4999,20.4834,18.2008
174.875,-36.375,105,19.4493,20.4231,18.1569
174.875,-36.375,106,19.3982,20.3615,18.1131
174.875,-36.375,107,19.3470,20.2976,18.0683
174.875,-36.375,108,19.2957,20.2346,18.0237
174.875,-36.375,109,19.2444,20.1705,17.9819
174.875,-36.375,110,19.1932,20.1053,17.9415
174.875,-36.375,111,19.1423,20.0412,17.8995
174.875,-36.375,112,19.0917,19.9786,17.8591
174.875,-36.375,113,19.0415,19.9152,17.8224
174.875,-36.375,114,18.9915,19.8516,17.7870
174.875,-36.375,115,18.9415,19.7874,17.7515
174.875,-36.375,116,18.8919,19.7264,17.7157
174.875,-36.375,117,18.8424,19.6670,17.6784
174.875,-36.375,118,18.7929,19.6079,17.6397
174.875,-36.375,119,18.7430,19.5486,17.5965
174.875,-36.375,120,18.6929,19.4916,17.5519
174.875,-36.375,121,18.6428,19.4357,17.5065
174.875,-36.375,122,18.5926,19.3809,17.4643
174.875,-36.375,123,18.5425,19.3247,17.4217
174.875,-36.375,124,18.4920,19.2692,17.3830
174.875,-36.375,125,18.4414,19.2131,17.3470
174.875,-36.375,126,18.3905,19.1557,17.3137
174.875,-36.375,127,18.3389,19.0967,17.2798
174.875,-36.375,128,18.2869,19.0387,17.2473
174.875,-36.375,129,18.2346,18.9809,17.2137
174.875,-36.375,130,18.1821,18.9232,17.1806
174.875,-36.375,131,18.1295,18.8661,17.1467
174.875,-36.375,132,18.0761,18.8094,17.1108
174.875,-36.375,133,18.0221,18.7530,17.0735
174.875,-36.375,134,17.9673,18.6950,17.0335
174.875,-36.375,135,17.9122,18.6378,16.9938
174.875,-36.375,136,17.8566,18.5801,16.9527
174.875,-36.375,137,17.8005,18.5214,16.9091
174.875,-36.375,138,17.7440,18.4646,16.8636
174.875,-36.375,139,17.6873,18.4072,16.8165
174.875,-36.375,140,17.6304,18.3493,16.7661
174.875,-36.375,141,17.5734,18.2915,16.7138
174.875,-36.375,142,17.5162,18.2340,16.6622
174.875,-36.375,143,17.4589,18.1769,16.6109
174.875,-36.375,144,17.4014,18.1197,16.5580
174.875,-36.375,145,17.3436,18.0633,16.5052
174.875,-36.375,146,17.2857,18.0078,16.4523
174.875,-36.375,147,17.2274,17.9520,16.3965
174.875,-36.375,148,17.1692,17.8950,16.3407
174.875,-36.375,149,17.1109,17.8369,16.2865
174.875,-36.375,150,17.0528,17.7775,16.2345
174.875,-36.375,151,16.9948,17.7175,16.1816
174.875,-36.375,152,16.9366,17.6572,16.1270
174.875,-36.375,153,16.8784,17.5965,16.0686
174.875,-36.375,154,16.8202,17.5378,16.0085
174.875,-36.375,155,16.7624,17.4785,15.9469
174.875,-36.375,156,16.7049,17.4205,15.8866
174.875,-36.375,157,16.6480,17.3631,15.8288
174.875,-36.375,158,16.5918,17.3076,15.7708
174.875,-36.375,159,16.5363,17.2537,15.7117
174.875,-36.375,160,16.4812,17.2005,15.6519
174.875,-36.375,161,16.4262,17.1479,15.5903
174.875,-36.375,162,16.3713,17.0949,15.5297
174.875,-36.375,163,16.3170,17.0423,15.4701
174.875,-36.375,164,16.2634,16.9907,15.4121
174.875,-36.375,165,16.2104,16.9391,15.3561
174.875,-36.375,166,16.1580,16.8894,15.2974
174.875,-36.375,167,16.1061,16.8403,15.2404
174.875,-36.375,168,16.0548,16.7919,15.1844
174.875,-36.375,169,16.0035,16.7432,15.1302
174.875,-36.375,170,15.9522,16.6938,15.0767
174.875,-36.375,171,15.9008,16.6457,15.0233
174.875,-36.375,172,15.8496,16.5986,14.9724
174.875,-36.375,173,15.7988,16.5516,14.9217
174.875,-36.375,174,15.7481,16.5042,14.8709
174.875,-36.375,175,15.6976,16.4559,14.8215
174.875,-36.375,176,15.6476,16.4084,14.7714
174.875,-36.375,177,15.5981,16.3582,14.7214
174.875,-36.375,178,15.5489,16.3082,14.6711
174.875,-36.375,179,15.4997,16.2594,14.6211
174.875,-36.375,180,15.4510,16.2111,14.5711
174.875,-36.375,181,15.4025,16.1649,14.5218
174.875,-36.375,182,15.3548,16.1191,14.4750
174.875,-36.375,183,15.3078,16.0746,14.4309
174.875,-36.375,184,15.2616,16.0314,14.3867
174.875,-36.375,185,15.2159,15.9893,14.3433
174.875,-36.375,186,15.1706,15.9463,14.3023
174.875,-36.375,187,15.1254,15.9031,14.2616
174.875,-36.375,188,15.0804,15.8606,14.2207
174.875,-36.375,189,15.0359,15.8190,14.1805
174.875,-36.375,190,14.9918,15.7777,14.1411
174.875,-36.375,191,14.9485,15.7377,14.1013
174.875,-36.375,192,14.9063,15.6984,14.0616
174.875,-36.375,193,14.8650,15.6600,14.0219
174.875,-36.375,194,14.8244,15.6223,13.9821
174.875,-36.375,195,14.7843,15.5843,13.9411
174.875,-36.375,196,14.7452,15.5468,13.9013
174.875,-36.375,197,14.7070,15.5081,13.8642
