lon,lat,doy,seas,thresh,thresh_MCS
177.625,-39.625,1,17.9015,19.1318,16.6065
177.625,-39.625,2,17.9525,19.1687,16.6635
177.625,-39.625,3,18.0035,19.2087,16.7187
177.625,-39.625,4,18.0545,19.2515,16.7723
177.625,-39.625,5,18.1052,19.2951,16.8245
177.625,-39.625,6,18.1560,19.3393,16.8755
177.625,-39.625,7,18.2070,19.3864,16.9265
177.625,-39.625,8,18.2580,19.4370,16.9804
177.625,-39.625,9,18.3093,19.4854,17.0325
177.625,-39.625,10,18.3606,19.5379,17.0838
177.625,-39.625,11,18.4126,19.5918,17.1346
177.625,-39.625,12,18.4637,19.6450,17.1830
177.625,-39.625,13,18.5132,19.6991,17.2288
177.625,-39.625,14,18.5613,19.7512,17.2730
177.625,-39.625,15,18.6086,19.8039,17.3197
177.625,-39.625,16,18.6553,19.8564,17.3664
177.625,-39.625,17,18.7013,19.9074,17.4136
177.625,-39.625,18,18.7459,19.9531,17.4622
177.625,-39.625,19,18.7893,19.9975,17.5136
177.625,-39.625,20,18.8311,20.0374,17.5663
177.625,-39.625,21,18.8719,20.0745,17.6183
177.625,-39.625,22,18.9120,20.1106,17.6703
177.625,-39.625,23,18.9516,20.1461,17.7248
177.625,-39.625,24,18.9908,20.1813,17.7810
177.625,-39.625,25,19.0294,20.2161,17.8355
177.625,-39.625,26,19.0665,20.2506,17.8867
177.625,-39.625,27,19.1020,20.2835,17.9329
177.625,-39.625,28,19.1358,20.3132,17.9790
177.625,-39.625,29,19.1682,20.3415,18.0251
177.625,-39.625,30,19.1993,20.3699,18.0672
177.625,-39.625,31,19.2292,20.3980,18.1092
177.625,-39.625,32,19.2574,20.4263,18.1485
177.625,-39.625,33,19.2832,20.4527,18.1850
177.625,-39.625,34,19.3061,20.4759,18.2211
177.625,-39.625,35,19.3262,20.4962,18.2562
177.625,-39.625,36,19.3438,20.5152,18.2900
177.625,-39.625,37,19.3592,20.5320,18.3216
177.625,-39.625,38,19.3725,20.5456,18.3511
177.625,-39.625,39,19.3842,20.5536,18.3745
177.625,-39.625,40,19.3940,20.5592,18.3932
177.625,-39.625,41,19.4022,20.5592,18.4098
177.625,-39.625,42,19.4083,20.5566,18.4238
177.625,-39.625,43,19.4122,20.5520,18.4324
177.625,-39.625,44,19.4150,20.5412,18.4375
177.625,-39.625,45,19.4170,20.5301,18.4423
177.625,-39.625,46,19.4180,20.5167,18.4435
177.625,-39.625,47,19.4174,20.5004,18.4426
177.625,-39.625,48,19.4153,20.4826,18.4372
177.625,-39.625,49,19.4116,20.4632,18.4303
177.625,-39.625,50,19.4064,20.4438,18.4212
177.625,-39.625,51,19.3993,20.4262,18.4121
177.625,-39.625,52,19.3902,20.4088,18.4027
177.625,-39.625,53,19.3788,20.3901,18.3900
177.625,-39.625,54,19.3653,20.3692,18.3720
177.625,-39.625,55,19.3495,20.3463,18.3520
177.625,-39.625,56,19.3319,20.3222,18.3316
177.625,-39.625,57,19.3131,20.2970,18.3086
177.625,-39.625,58,19.2930,20.2702,18.2847
177.625,-39.625,59,19.2719,20.2414,18.2602
177.625,-39.625,60,19.2496,20.2117,18.2345
177.625,-39.625,61,19.2258,20.1804,18.2054
177.625,-39.625,62,19.2008,20.1491,18.1745
177.625,-39.625,63,19.1747,20.1165,18.1422
177.625,-39.625,64,19.1485,20.0829,18.1096
177.625,-39.625,65,19.1225,20.0487,18.0761
177.625,-39.625,66,19.0965,20.0136,18.0365
177.625,-39.625,67,19.0703,19.9791,17.9962
177.625,-39.625,68,19.0438,19.9456,17.9553
177.625,-39.625,69,19.0171,19.9127,17.9122
