lon,lat,doy,seas,thresh,thresh_MCS
173.875,-42.625,1,15.2504,16.4552,14.0485
173.875,-42.625,2,15.2950,16.4959,14.0956
173.875,-42.625,3,15.3391,16.5410,14.1422
173.875,-42.625,4,15.3827,16.5869,14.1872
173.875,-42.625,5,15.4259,16.6335,14.2317
173.875,-42.625,6,15.4685,16.6800,14.2759
173.875,-42.625,7,15.5107,16.7265,14.3187
173.875,-42.625,8,15.5521,16.7743,14.3604
173.875,-42.625,9,15.5929,16.8198,14.4020
173.875,-42.625,10,15.6336,16.8624,14.4423
173.875,-42.625,11,15.6749,16.9036,14.4839
173.875,-42.625,12,15.7151,16.9453,14.5252
173.875,-42.625,13,15.7542,16.9843,14.5658
173.875,-42.625,14,15.7925,17.0230,14.6060
173.875,-42.625,15,15.8298,17.0595,14.6433
173.875,-42.625,16,15.8663,17.0957,14.6779
173.875,-42.625,17,15.9027,17.1314,14.7115
173.875,-42.625,18,15.9384,17.1672,14.7449
173.875,-42.625,19,15.9735,17.2039,14.7792
173.875,-42.625,20,16.0078,17.2403,14.8112
173.875,-42.625,21,16.0408,17.2741,14.8398
173.875,-42.625,22,16.0727,17.3029,14.8694
173.875,-42.625,23,16.1036,17.3316,14.8985
173.875,-42.625,24,16.1335,17.3596,14.9268
173.875,-42.625,25,16.1618,17.3864,14.9558
173.875,-42.625,26,16.1883,17.4125,14.9861
173.875,-42.625,27,16.2131,17.4390,15.0155
173.875,-42.625,28,16.2360,17.4637,15.0442
173.875,-42.625,29,16.2575,17.4876,15.0695
173.875,-42.625,30,16.2778,17.5089,15.0915
173.875,-42.625,31,16.2970,17.5284,15.1109
173.875,-42.625,32,16.3147,17.5456,15.1274
173.875,-42.625,33,16.3306,17.5590,15.1435
173.875,-42.625,34,16.3447,17.5642,15.1580
173.875,-42.625,35,16.3568,17.5667,15.1697
173.875,-42.625,36,16.3672,17.5668,15.1796
173.875,-42.625,37,16.3764,17.5652,15.1895
173.875,-42.625,38,16.3848,17.5626,15.1998
173.875,-42.625,39,16.3920,17.5581,15.2098
173.875,-42.625,40,16.3980,17.5525,15.2195
173.875,-42.625,41,16.4021,17.5458,15.2301
173.875,-42.625,42,16.4037,17.5378,15.2376
173.875,-42.625,43,16.4030,17.5277,15.2420
173.875,-42.625,44,16.4007,17.5171,15.2424
173.875,-42.625,45,16.3967,17.5052,15.2417
173.875,-42.625,46,16.3911,17.4926,15.2386
173.875,-42.625,47,16.3838,17.4800,15.2345
173.875,-42.625,48,16.3741,17.4648,15.2255
173.875,-42.625,49,16.3621,17.4474,15.2143
173.875,-42.625,50,16.3478,17.4274,15.2017
173.875,-42.625,51,16.3314,17.4067,15.1879
173.875,-42.625,52,16.3132,17.3850,15.1734
173.875,-42.625,53,16.2936,17.3627,15.1566
173.875,-42.625,54,16.2725,17.3386,15.1388
173.875,-42.625,55,16.2496,17.3125,15.1195
173.875,-42.625,56,16.2256,17.2835,15.0989
173.875,-42.625,57,16.2007,17.2535,15.0760
173.875,-42.625,58,16.1751,17.2205,15.0525
173.875,-42.625,59,16.1488,17.1868,15.0295
173.875,-42.625,60,16.1214,17.1519,15.0060
173.875,-42.625,61,16.0929,17.1171,14.9795
173.875,-42.625,62,16.0632,17.0818,14.9540
173.875,-42.625,63,16.0327,17.0470,14.9285
173.875,-42.625,64,16.0019,17.0133,14.9018
173.875,-42.625,65,15.9708,16.9816,14.8756
173.875,-42.625,66,15.9392,16.9507,14.8497
173.875,-42.625,67,15.9069,16.9207,14.8224
173.875,-42.625,68,15.8736,16.8907,14.7931
173.875,-42.625,69,15.8394,16.8594,14.7625
173.875,-42.625,70,15.8041,16.8278,14.7315
173.875,-42.625,71,15.7677,16.7953,14.6999
173.875,-42.625,72,15.7307,16.7610,14.6673
173.875,-42.625,73,15.6932,16.7255,14.6346
173.875,-42.625,74,15.6553,16.6885,14.6034
173.875,-42.625,75,15.6165,16.6505,14.5725
173.875,-42.625,76,15.5771,16.6108,14.5399
173.875,-42.625,77,15.5367,16.5692,14.5086
173.875,-42.625,78,15.4953,16.5262,14.4760
173.875,-42.625,79,15.4527,16.4793,14.4397
173.875,-42.625,80,15.4092,16.4299,14.3984
173.875,-42.625,81,15.3649,16.3796,14.3565
173.875,-42.625,82,15.3201,16.3287,14.3142
173.875,-42.625,83,15.2746,16.2790,14.2720
