lon,lat,doy,seas,thresh,thresh_MCS
173.875,-41.175,1,16.5661,17.6689,15.4062
173.875,-41.175,2,16.6039,17.7100,15.4407
173.875,-41.175,3,16.6410,17.7502,15.4749
173.875,-41.175,4,16.6774,17.7892,15.5091
173.875,-41.175,5,16.7136,17.8275,15.5442
173.875,-41.175,6,16.7494,17.8652,15.5793
173.875,-41.175,7,16.7846,17.9012,15.6125
173.875,-41.175,8,16.8195,17.9348,15.6444
173.875,-41.175,9,16.8546,17.9691,15.6790
173.875,-41.175,10,16.8903,18.0052,15.7182
173.875,-41.175,11,16.9268,18.0427,15.7600
173.875,-41.175,12,16.9627,18.0812,15.8015
173.875,-41.175,13,16.9981,18.1200,15.8439
173.875,-41.175,14,17.0337,18.1607,15.8875
173.875,-41.175,15,17.0692,18.2053,15.9301
173.875,-41.175,16,17.1045,18.2507,15.9695
173.875,-41.175,17,17.1396,18.2953,16.0084
173.875,-41.175,18,17.1749,18.3386,16.0472
173.875,-41.175,19,17.2100,18.3814,16.0843
173.875,-41.175,20,17.2442,18.4224,16.1197
173.875,-41.175,21,17.2774,18.4634,16.1549
173.875,-41.175,22,17.3100,18.5028,16.1888
173.875,-41.175,23,17.3426,18.5416,16.2239
173.875,-41.175,24,17.3744,18.5800,16.2594
173.875,-41.175,25,17.4050,18.6175,16.2922
173.875,-41.175,26,17.4341,18.6520,16.3261
173.875,-41.175,27,17.4618,18.6869,16.3593
173.875,-41.175,28,17.4882,18.7204,16.3909
173.875,-41.175,29,17.5136,18.7510,16.4219
173.875,-41.175,30,17.5382,18.7790,16.4532
173.875,-41.175,31,17.5622,18.8057,16.4857
173.875,-41.175,32,17.5853,18.8303,16.5170
173.875,-41.175,33,17.6074,18.8524,16.5418
173.875,-41.175,34,17.6281,18.8731,16.5661
173.875,-41.175,35,17.6478,18.8938,16.5895
173.875,-41.175,36,17.6663,18.9129,16.6111
173.875,-41.175,37,17.6843,18.9317,16.6320
173.875,-41.175,38,17.7019,18.9470,16.6530
173.875,-41.175,39,17.7183,18.9609,16.6775
173.875,-41.175,40,17.7329,18.9715,16.6975
173.875,-41.175,41,17.7455,18.9808,16.7128
173.875,-41.175,42,17.7558,18.9877,16.7241
173.875,-41.175,43,17.7644,18.9918,16.7331
173.875,-41.175,44,17.7712,18.9934,16.7385
173.875,-41.175,45,17.7759,18.9914,16.7402
173.875,-41.175,46,17.7786,18.9845,16.7405
173.875,-41.175,47,17.7791,18.9757,16.7382
173.875,-41.175,48,17.7771,18.9658,16.7312
173.875,-41.175,49,17.7723,18.9548,16.7234
173.875,-41.175,50,17.7651,18.9422,16.7137
173.875,-41.175,51,17.7558,18.9276,16.7033
173.875,-41.175,52,17.7444,18.9103,16.6917
173.875,-41.175,53,17.7311,18.8905,16.6785
173.875,-41.175,54,17.7156,18.8695,16.6634
173.875,-41.175,55,17.6983,18.8475,16.6460
173.875,-41.175,56,17.6799,18.8252,16.6277
173.875,-41.175,57,17.6605,18.8023,16.6067
173.875,-41.175,58,17.6400,18.7768,16.5854
173.875,-41.175,59,17.6188,18.7506,16.5638
173.875,-41.175,60,17.5967,18.7248,16.5413
173.875,-41.175,61,17.5736,18.6987,16.5171
173.875,-41.175,62,17.5494,18.6694,16.4920
173.875,-41.175,63,17.5242,18.6383,16.4678
173.875,-41.175,64,17.4983,18.6069,16.4485
173.875,-41.175,65,17.4716,18.5729,16.4291
173.875,-41.175,66,17.4440,18.5377,16.4075
173.875,-41.175,67,17.4155,18.5026,16.3838
173.875,-41.175,68,17.3858,18.4674,16.3584
173.875,-41.175,69,17.3551,18.4362,16.3322
173.875,-41.175,70,17.3236,18.4046,16.3023
173.875,-41.175,71,17.2918,18.3730,16.2735
173.875,-41.175,72,17.2596,18.3395,16.2458
173.875,-41.175,73,17.2275,18.3059,16.2191
173.875,-41.175,74,17.1955,18.2711,16.1937
173.875,-41.175,75,17.1632,18.2355,16.1700
173.875,-41.175,76,17.1306,18.2006,16.1457
173.875,-41.175,77,17.0974,18.1649,16.1209
173.875,-41.175,78,17.0633,18.1281,16.0935
173.875,-41.175,79,17.0284,18.0880,16.0657
173.875,-41.175,80,16.9926,18.0461,16.0357
173.875,-41.175,81,16.9559,18.0032,16.0034
173.875,-41.175,82,16.9185,17.9561,15.9698
173.875,-41.175,83,16.8805,17.9096,15.9369
173.875,-41.175,84,16.8417,17.8628,15.9044
173.875,-41.175,85,16.8020,17.8149,15.8720
173.875,-41.175,86,16.7614,17.7648,15.8390
173.875,-41.175,87,16.7201,17.7122,15.8017
173.875,-41.175,88,16.6783,17.6590,15.7645
173.875,-41.175,89,16.6364,17.6070,15.7229
173.875,-41.175,90,16.5943,17.5545,15.6815
173.875,-41.175,91,16.5521,17.5009,15.6396
173.875,-41.175,92,16.5098,17.4466,15.5993
173.875,-41.175,93,16.4672,17.3933,15.5588
173.875,-41.175,94,16.4244,17.3408,15.5150
173.875,-41.175,95,16.3814,17.2883,15.4706
173.875,-41.175,96,16.3385,17.2355,15.4254
173.875,-41.175,97,16.2959,17.1825,15.3811
173.875,-41.175,98,16.2529,17.1296,15.3353
173.875,-41.175,99,16.2093,17.0754,15.2899
173.875,-41.175,100,16.1652,17.0189,15.2450
173.875,-41.175,101,16.1205,16.9620,15.2002
173.875,-41.175,102,16.0754,16.9052,15.1563
173.875,-41.175,103,16.0297,16.8481,15.1105
173.875,-41.175,104,15.9836,16.7898,15.0650
173.875,-41.175,105,15.9372,16.7327,15.0195
173.875,-41.175,106,15.8908,16.6769,14.9744
173.875,-41.175,107,15.8442,16.6191,14.9302
173.875,-41.175,108,15.7979,16.5614,14.8876
173.875,-41.175,109,15.7526,16.5034,14.8487
173.875,-41.175,110,15.7084,16.4482,14.8133
173.875,-41.175,111,15.6657,16.3946,14.7805
173.875,-41.175,112,15.6241,16.3430,14.7502
173.875,-41.175,113,15.5832,16.2953,14.7203
173.875,-41.175,114,15.5433,16.2498,14.6889
173.875,-41.175,115,15.5040,16.2052,14.6573
173.875,-41.175,116,15.4656,16.1619,14.6248
173.875,-41.175,117,15.4278,16.1206,14.5914
173.875,-41.175,118,15.3905,16.0823,14.5599
173.875,-41.175,119,15.3533,16.0435,14.5272
173.875,-41.175,120,15.3161,16.0033,14.4985
173.875,-41.175,121,15.2788,15.9640,14.4662
173.875,-41.175,122,15.2414,15.9250,14.4329
173.875,-41.175,123,15.2042,15.8871,14.3978
173.875,-41.175,124,15.1675,15.8485,14.3624
173.875,-41.175,125,15.1309,15.8098,14.3294
173.875,-41.175,126,15.0941,15.7706,14.2947
173.875,-41.175,127,15.0564,15.7313,14.2608
173.875,-41.175,128,15.0181,15.6913,14.2267
173.875,-41.175,129,14.9792,15.6510,14.1953
173.875,-41.175,130,14.9397,15.6109,14.1640
173.875,-41.175,131,14.8995,15.5713,14.1320
173.875,-41.175,132,14.8583,15.5319,14.0952
173.875,-41.175,133,14.8158,15.4913,14.0542
173.875,-41.175,134,14.7721,15.4507,14.0119
173.875,-41.175,135,14.7272,15.4106,13.9693
173.875,-41.175,136,14.6813,15.3687,13.9241
173.875,-41.175,137,14.6344,15.3242,13.8776
173.875,-41.175,138,14.5872,15.2791,13.8308
173.875,-41.175,139,14.5393,15.2336,13.7826
173.875,-41.175,140,14.4906,15.1875,13.7306
173.875,-41.175,141,14.4413,15.1401,13.6784
173.875,-41.175,142,14.3916,15.0911,13.6264
173.875,-41.175,143,14.3419,15.0417,13.5775
173.875,-41.175,144,14.2924,14.9923,13.5278
173.875,-41.175,145,14.2426,14.9397,13.4791
173.875,-41.175,146,14.1924,14.8866,13.4297
173.875,-41.175,147,14.1422,14.8327,13.3784
173.875,-41.175,148,14.0920,14.7792,13.3274
173.875,-41.175,149,14.0419,14.7256,13.2780
173.875,-41.175,150,13.9917,14.6731,13.2293
173.875,-41.175,151,13.9415,14.6227,13.1813
173.875,-41.175,152,13.8912,14.5685,13.1365
173.875,-41.175,153,13.8405,14.5143,13.0907
173.875,-41.175,154,13.7889,14.4607,13.0435
173.875,-41.175,155,13.7368,14.4078,12.9954
173.875,-41.175,156,13.6846,14.3537,12.9465
173.875,-41.175,157,13.6326,14.3007,12.9000
173.875,-41.175,158,13.5811,14.2500,12.8539
173.875,-41.175,159,13.5298,14.1987,12.8080
173.875,-41.175,160,13.4788,14.1477,12.7591
173.875,-41.175,161,13.4285,14.0977,12.7088
173.875,-41.175,162,13.3788,14.0490,12.6572
173.875,-41.175,163,13.3303,14.0010,12.6088
173.875,-41.175,164,13.2829,13.9542,12.5627
173.875,-41.175,165,13.2369,13.9084,12.5188
173.875,-41.175,166,13.1923,13.8630,12.4753
173.875,-41.175,167,13.1490,13.8195,12.4337
173.875,-41.175,168,13.1070,13.7781,12.3937
173.875,-41.175,169,13.0655,13.7384,12.3550
