lon,lat,doy,seas,thresh,thresh_MCS
174.125,-35.125,1,18.9195,20.0290,17.8374
174.125,-35.125,2,18.9591,20.0768,17.8802
174.125,-35.125,3,18.9994,20.1250,17.9247
174.125,-35.125,4,19.0409,20.1750,17.9699
174.125,-35.125,5,19.0840,20.2267,18.0151
174.125,-35.125,6,19.1282,20.2821,18.0613
174.125,-35.125,7,19.1730,20.3363,18.1068
174.125,-35.125,8,19.2181,20.3901,18.1517
174.125,-35.125,9,19.2639,20.4457,18.1950
174.125,-35.125,10,19.3107,20.5017,18.2402
174.125,-35.125,11,19.3588,20.5555,18.2863
174.125,-35.125,12,19.4069,20.6105,18.3297
174.125,-35.125,13,19.4548,20.6666,18.3744
174.125,-35.125,14,19.5026,20.7237,18.4192
174.125,-35.125,15,19.5500,20.7817,18.4632
174.125,-35.125,16,19.5965,20.8403,18.5026
174.125,-35.125,17,19.6420,20.8973,18.5404
174.125,-35.125,18,19.6868,20.9519,18.5770
174.125,-35.125,19,19.7315,21.0060,18.6137
174.125,-35.125,20,19.7760,21.0588,18.6494
174.125,-35.125,21,19.8205,21.1070,18.6861
174.125,-35.125,22,19.8656,21.1553,18.7251
174.125,-35.125,23,19.9112,21.2037,18.7647
174.125,-35.125,24,19.9573,21.2505,18.8037
174.125,-35.125,25,20.0039,21.2943,18.8422
174.125,-35.125,26,20.0502,21.3362,18.8821
174.125,-35.125,27,20.0963,21.3775,18.9212
174.125,-35.125,28,20.1421,21.4152,18.9603
174.125,-35.125,29,20.1879,21.4524,19.0006
174.125,-35.125,30,20.2333,21.4889,19.0409
174.125,-35.125,31,20.2776,21.5238,19.0815
174.125,-35.125,32,20.3204,21.5588,19.1239
174.125,-35.125,33,20.3615,21.5958,19.1662
174.125,-35.125,34,20.4008,21.6323,19.2076
174.125,-35.125,35,20.4378,21.6656,19.2476
174.125,-35.125,36,20.4721,21.6968,19.2889
174.125,-35.125,37,20.5047,21.7239,19.3295
174.125,-35.125,38,20.5357,21.7492,19.3683
174.125,-35.125,39,20.5653,21.7735,19.4066
174.125,-35.125,40,20.5930,21.7950,19.4444
174.125,-35.125,41,20.6190,21.8147,19.4793
174.125,-35.125,42,20.6431,21.8340,19.5115
174.125,-35.125,43,20.6655,21.8504,19.5431
174.125,-35.125,44,20.6866,21.8643,19.5699
174.125,-35.125,45,20.7061,21.8766,19.5944
174.125,-35.125,46,20.7244,21.8863,19.6144
174.125,-35.125,47,20.7421,21.8931,19.6362
174.125,-35.125,48,20.7590,21.8990,19.6538
174.125,-35.125,49,20.7750,21.9041,19.6670
174.125,-35.125,50,20.7900,21.9086,19.6796
174.125,-35.125,51,20.8035,21.9131,19.6916
174.125,-35.125,52,20.8154,21.9173,19.7011
174.125,-35.125,53,20.8257,21.9196,19.7070
174.125,-35.125,54,20.8339,21.9207,19.7116
174.125,-35.125,55,20.8398,21.9207,19.7148
174.125,-35.125,56,20.8440,21.9205,19.7180
174.125,-35.125,57,20.8465,21.9192,19.7208
174.125,-35.125,58,20.8469,21.9151,19.7224
174.125,-35.125,59,20.8453,21.9099,19.7233
174.125,-35.125,60,20.8413,21.9030,19.7239
174.125,-35.125,61,20.8351,21.8927,19.7235
174.125,-35.125,62,20.8274,21.8794,19.7222
174.125,-35.125,63,20.8180,21.8643,19.7178
174.125,-35.125,64,20.8073,21.8446,19.7100
174.125,-35.125,65,20.7958,21.8239,19.6998
174.125,-35.125,66,20.7836,21.8035,19.6876
174.125,-35.125,67,20.7708,21.7832,19.6727
174.125,-35.125,68,20.7569,21.7622,19.6543
174.125,-35.125,69,20.7423,21.7427,19.6359
174.125,-35.125,70,20.7273,21.7239,19.6179
174.125,-35.125,71,20.7121,21.7055,19.5993
174.125,-35.125,72,20.6966,21.6877,19.5789
174.125,-35.125,73,20.6808,21.6703,19.5582
174.125,-35.125,74,20.6649,21.6535,19.5369
174.125,-35.125,75,20.6489,21.6367,19.5171
174.125,-35.125,76,20.6321,21.6189,19.4977
174.125,-35.125,77,20.6144,21.6015,19.4809
174.125,-35.125,78,20.5957,21.5838,19.4659
174.125,-35.125,79,20.5759,21.5644,19.4544
174.125,-35.125,80,20.5548,21.5427,19.4450
174.125,-35.125,81,20.5319,21.5169,19.4346
174.125,-35.125,82,20.5076,21.4883,19.4229
174.125,-35.125,83,20.4819,21.4583,19.4097
174.125,-35.125,84,20.4546,21.4281,19.3925
174.125,-35.125,85,20.4258,21.3974,19.3735
174.125,-35.125,86,20.3955,21.3654,19.3521
174.125,-35.125,87,20.3642,21.3325,19.3284
174.125,-35.125,88,20.3316,21.2983,19.3009
174.125,-35.125,89,20.2981,21.2641,19.2722
174.125,-35.125,90,20.2638,21.2279,19.2419
174.125,-35.125,91,20.2288,21.1902,19.2092
174.125,-35.125,92,20.1932,21.1499,19.1725
174.125,-35.125,93,20.1570,21.1092,19.1341
174.125,-35.125,94,20.1203,21.0666,19.0943
174.125,-35.125,95,20.0831,21.0231,19.0514
174.125,-35.125,96,20.0453,20.9776,19.0085
174.125,-35.125,97,20.0067,20.9319,18.9655
174.125,-35.125,98,19.9672,20.8848,18.9198
174.125,-35.125,99,19.9271,20.8383,18.8740
174.125,-35.125,100,19.8861,20.7906,18.8278
174.125,-35.125,101,19.8442,20.7419,18.7810
174.125,-35.125,102,19.8014,20.6913,18.7351
174.125,-35.125,103,19.7579,20.6397,18.6925
174.125,-35.125,104,19.7135,20.5868,18.6479
174.125,-35.125,105,19.6684,20.5326,18.6026
174.125,-35.125,106,19.6226,20.4781,18.5560
174.125,-35.125,107,19.5766,20.4223,18.5098
174.125,-35.125,108,19.5305,20.3668,18.4637
174.125,-35.125,109,19.4846,20.3101,18.4182
174.125,-35.125,110,19.4389,20.2537,18.3726
174.125,-35.125,111,19.3935,20.1980,18.3284
174.125,-35.125,112,19.3487,20.1457,18.2833
174.125,-35.125,113,19.3042,20.0953,18.2378
174.125,-35.125,114,19.2600,20.0466,18.1925
174.125,-35.125,115,19.2161,19.9970,18.1493
174.125,-35.125,116,19.1728,19.9473,18.1077
174.125,-35.125,117,19.1299,19.8989,18.0685
174.125,-35.125,118,19.0868,19.8502,18.0293
174.125,-35.125,119,19.0437,19.8018,17.9891
174.125,-35.125,120,19.0002,19.7527,17.9472
174.125,-35.125,121,18.9566,19.7053,17.9036
174.125,-35.125,122,18.9125,19.6585,17.8593
174.125,-35.125,123,18.8682,19.6145,17.8181
174.125,-35.125,124,18.8233,19.5694,17.7766
174.125,-35.125,125,18.7779,19.5249,17.7358
174.125,-35.125,126,18.7319,19.4810,17.6955
174.125,-35.125,127,18.6851,19.4380,17.6548
174.125,-35.125,128,18.6379,19.3935,17.6110
174.125,-35.125,129,18.5902,19.3496,17.5697
174.125,-35.125,130,18.5423,19.3052,17.5300
174.125,-35.125,131,18.4940,19.2604,17.4874
174.125,-35.125,132,18.4453,19.2148,17.4433
174.125,-35.125,133,18.3959,19.1696,17.3968
174.125,-35.125,134,18.3460,19.1225,17.3484
174.125,-35.125,135,18.2957,19.0757,17.3014
174.125,-35.125,136,18.2452,19.0297,17.2538
174.125,-35.125,137,18.1941,18.9829,17.2058
174.125,-35.125,138,18.1424,18.9380,17.1573
174.125,-35.125,139,18.0899,18.8935,17.1052
174.125,-35.125,140,18.0368,18.8498,17.0511
174.125,-35.125,141,17.9834,18.8066,16.9970
174.125,-35.125,142,17.9297,18.7646,16.9434
174.125,-35.125,143,17.8760,18.7207,16.8915
174.125,-35.125,144,17.8222,18.6775,16.8390
174.125,-35.125,145,17.7684,18.6325,16.7875
174.125,-35.125,146,17.7146,18.5866,16.7374
174.125,-35.125,147,17.6608,18.5398,16.6865
174.125,-35.125,148,17.6075,18.4911,16.6345
174.125,-35.125,149,17.5549,18.4421,16.5839
174.125,-35.125,150,17.5033,18.3934,16.5355
174.125,-35.125,151,17.4525,18.3473,16.4890
174.125,-35.125,152,17.4024,18.3012,16.4422
174.125,-35.125,153,17.3531,18.2532,16.3951
174.125,-35.125,154,17.3045,18.2057,16.3444
174.125,-35.125,155,17.2569,18.1606,16.2937
174.125,-35.125,156,17.2103,18.1161,16.2434
174.125,-35.125,157,17.1648,18.0713,16.1944
174.125,-35.125,158,17.1203,18.0274,16.1464
174.125,-35.125,159,17.0764,17.9852,16.1028
174.125,-35.125,160,17.0332,17.9426,16.0596
174.125,-35.125,161,16.9904,17.9006,16.0144
174.125,-35.125,162,16.9477,17.8587,15.9683
174.125,-35.125,163,16.9056,17.8180,15.9228
174.125,-35.125,164,16.8639,17.7771,15.8792
174.125,-35.125,165,16.8229,17.7377,15.8364
174.125,-35.125,166,16.7826,17.6980,15.7944
174.125,-35.125,167,16.7428,17.6576,15.7547
174.125,-35.125,168,16.7036,17.6159,15.7156
