lon,lat,doy,seas,thresh,thresh_MCS
170.875,-45.875,1,13.1102,14.2954,11.8498
170.875,-45.875,2,13.1427,14.3209,11.8847
170.875,-45.875,3,13.1746,14.3442,11.9195
170.875,-45.875,4,13.2068,14.3665,11.9538
170.875,-45.875,5,13.2391,14.3895,11.9884
170.875,-45.875,6,13.2713,14.4157,12.0226
170.875,-45.875,7,13.3034,14.4461,12.0568
170.875,-45.875,8,13.3359,14.4783,12.0911
170.875,-45.875,9,13.3690,14.5096,12.1237
170.875,-45.875,10,13.4030,14.5435,12.1564
170.875,-45.875,11,13.4384,14.5794,12.1898
170.875,-45.875,12,13.4740,14.6131,12.2238
170.875,-45.875,13,13.5094,14.6464,12.2597
170.875,-45.875,14,13.5446,14.6800,12.2981
170.875,-45.875,15,13.5791,14.7135,12.3407
170.875,-45.875,16,13.6129,14.7468,12.3855
170.875,-45.875,17,13.6466,14.7798,12.4302
170.875,-45.875,18,13.6801,14.8134,12.4741
170.875,-45.875,19,13.7129,14.8476,12.5170
170.875,-45.875,20,13.7444,14.8820,12.5595
170.875,-45.875,21,13.7746,14.9174,12.6010
170.875,-45.875,22,13.8030,14.9492,12.6416
170.875,-45.875,23,13.8299,14.9795,12.6801
170.875,-45.875,24,13.8554,15.0083,12.7156
170.875,-45.875,25,13.8788,15.0373,12.7485
170.875,-45.875,26,13.9003,15.0660,12.7773
170.875,-45.875,27,13.9199,15.0937,12.8002
170.875,-45.875,28,13.9383,15.1193,12.8202
170.875,-45.875,29,13.9556,15.1447,12.8386
170.875,-45.875,30,13.9722,15.1702,12.8564
170.875,-45.875,31,13.9888,15.1931,12.8733
170.875,-45.875,32,14.0050,15.2144,12.8884
170.875,-45.875,33,14.0205,15.2331,12.9048
170.875,-45.875,34,14.0351,15.2508,12.9216
170.875,-45.875,35,14.0480,15.2633,12.9388
170.875,-45.875,36,14.0598,15.2723,12.9575
170.875,-45.875,37,14.0708,15.2769,12.9765
170.875,-45.875,38,14.0806,15.2749,12.9961
170.875,-45.875,39,14.0876,15.2698,13.0141
170.875,-45.875,40,14.0916,15.2627,13.0309
170.875,-45.875,41,14.0918,15.2504,13.0467
170.875,-45.875,42,14.0885,15.2336,13.0605
170.875,-45.875,43,14.0817,15.2137,13.0705
170.875,-45.875,44,14.0727,15.1935,13.0750
170.875,-45.875,45,14.0617,15.1728,13.0759
170.875,-45.875,46,14.0495,15.1512,13.0705
170.875,-45.875,47,14.0361,15.1264,13.0611
170.875,-45.875,48,14.0209,15.0990,13.0491
170.875,-45.875,49,14.0038,15.0703,13.0352
170.875,-45.875,50,13.9859,15.0399,13.0210
170.875,-45.875,51,13.9678,15.0083,13.0068
170.875,-45.875,52,13.9497,14.9756,12.9920
170.875,-45.875,53,13.9316,14.9450,12.9765
170.875,-45.875,54,13.9136,14.9150,12.9597
170.875,-45.875,55,13.8951,14.8849,12.9419
170.875,-45.875,56,13.8765,14.8545,12.9223
170.875,-45.875,57,13.8580,14.8242,12.9039
170.875,-45.875,58,13.8395,14.7949,12.8852
170.875,-45.875,59,13.8210,14.7674,12.8665
170.875,-45.875,60,13.8024,14.7409,12.8477
170.875,-45.875,61,13.7833,14.7157,12.8274
170.875,-45.875,62,13.7627,14.6907,12.8045
