lon,lat,doy,seas,thresh,thresh_MCS
172.875,-40.625,1,17.1208,18.5799,15.8219
172.875,-40.625,2,17.1643,18.6276,15.8631
172.875,-40.625,3,17.2072,18.6727,15.9018
172.875,-40.625,4,17.2494,18.7147,15.9393
172.875,-40.625,5,17.2912,18.7584,15.9767
172.875,-40.625,6,17.3326,18.8010,16.0129
172.875,-40.625,7,17.3737,18.8428,16.0487
172.875,-40.625,8,17.4151,18.8835,16.0836
172.875,-40.625,9,17.4572,18.9292,16.1187
172.875,-40.625,10,17.5004,18.9754,16.1552
172.875,-40.625,11,17.5454,19.0220,16.1951
172.875,-40.625,12,17.5906,19.0688,16.2361
172.875,-40.625,13,17.6362,19.1164,16.2786
172.875,-40.625,14,17.6828,19.1663,16.3231
172.875,-40.625,15,17.7295,19.2185,16.3675
172.875,-40.625,16,17.7760,19.2716,16.4095
172.875,-40.625,17,17.8225,19.3247,16.4516
172.875,-40.625,18,17.8686,19.3730,16.4946
172.875,-40.625,19,17.9141,19.4166,16.5378
172.875,-40.625,20,17.9586,19.4586,16.5802
172.875,-40.625,21,18.0019,19.4998,16.6222
172.875,-40.625,22,18.0444,19.5408,16.6635
172.875,-40.625,23,18.0867,19.5803,16.7051
172.875,-40.625,24,18.1280,19.6195,16.7455
172.875,-40.625,25,18.1676,19.6588,16.7847
172.875,-40.625,26,18.2056,19.6976,16.8213
172.875,-40.625,27,18.2420,19.7338,16.8559
172.875,-40.625,28,18.2766,19.7657,16.8877
172.875,-40.625,29,18.3099,19.7972,16.9190
172.875,-40.625,30,18.3420,19.8262,16.9470
172.875,-40.625,31,18.3731,19.8529,16.9731
172.875,-40.625,32,18.4028,19.8760,16.9975
172.875,-40.625,33,18.4309,19.8952,17.0191
172.875,-40.625,34,18.4572,19.9126,17.0380
172.875,-40.625,35,18.4817,19.9280,17.0564
172.875,-40.625,36,18.5047,19.9399,17.0742
172.875,-40.625,37,18.5266,19.9505,17.0925
172.875,-40.625,38,18.5475,19.9608,17.1124
172.875,-40.625,39,18.5666,19.9691,17.1334
172.875,-40.625,40,18.5835,19.9714,17.1538
172.875,-40.625,41,18.5974,19.9702,17.1727
172.875,-40.625,42,18.6079,19.9662,17.1887
172.875,-40.625,43,18.6155,19.9607,17.2029
172.875,-40.625,44,18.6205,19.9536,17.2139
172.875,-40.625,45,18.6222,19.9438,17.2211
172.875,-40.625,46,18.6208,19.9315,17.2231
172.875,-40.625,47,18.6163,19.9166,17.2221
172.875,-40.625,48,18.6086,19.8995,17.2146
172.875,-40.625,49,18.5980,19.8817,17.2032
172.875,-40.625,50,18.5854,19.8617,17.1911
172.875,-40.625,51,18.5707,19.8397,17.1790
172.875,-40.625,52,18.5545,19.8124,17.1669
172.875,-40.625,53,18.5369,19.7827,17.1531
172.875,-40.625,54,18.5177,19.7498,17.1374
172.875,-40.625,55,18.4969,19.7162,17.1216
172.875,-40.625,56,18.4756,19.6822,17.1074
172.875,-40.625,57,18.4540,19.6462,17.0945
172.875,-40.625,58,18.4321,19.6097,17.0815
172.875,-40.625,59,18.4101,19.5758,17.0703
172.875,-40.625,60,18.3875,19.5411,17.0571
172.875,-40.625,61,18.3637,19.5069,17.0429
172.875,-40.625,62,18.3387,19.4731,17.0272
172.875,-40.625,63,18.3127,19.4408,17.0095
172.875,-40.625,64,18.2861,19.4116,16.9930
172.875,-40.625,65,18.2586,19.3813,16.9782
172.875,-40.625,66,18.2303,19.3522,16.9626
172.875,-40.625,67,18.2010,19.3229,16.9448
172.875,-40.625,68,18.1707,19.2947,16.9232
172.875,-40.625,69,18.1394,19.2670,16.8969
172.875,-40.625,70,18.1069,19.2375,16.8685
172.875,-40.625,71,18.0736,19.2078,16.8395
172.875,-40.625,72,18.0399,19.1790,16.8105
172.875,-40.625,73,18.0062,19.1520,16.7807
172.875,-40.625,74,17.9721,19.1249,16.7487
172.875,-40.625,75,17.9376,19.0951,16.7161
172.875,-40.625,76,17.9027,19.0642,16.6846
172.875,-40.625,77,17.8673,19.0306,16.6504
172.875,-40.625,78,17.8313,18.9942,16.6159
172.875,-40.625,79,17.7949,18.9552,16.5847
172.875,-40.625,80,17.7575,18.9139,16.5547
172.875,-40.625,81,17.7191,18.8713,16.5236
172.875,-40.625,82,17.6803,18.8284,16.4922
172.875,-40.625,83,17.6406,18.7859,16.4578
172.875,-40.625,84,17.5997,18.7432,16.4245
172.875,-40.625,85,17.5577,18.7008,16.3899
172.875,-40.625,86,17.5144,18.6557,16.3489
